layer,attribute,value
1,name,site01_period03
1,type,space
1,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
1,mean_distance_between_sites,11.3 km
1,period,january-feburary 2004
1,temporal_herbivore_abundance,42
1,temporal_plant_abundance,22
1,latitude,-23.533773
1,longitude,-46.62529
1,name,site01_period03
1,type,time
1,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
1,mean_distance_between_sites,11.3 km
1,period,january-feburary 2004
1,temporal_herbivore_abundance,42
1,temporal_plant_abundance,22
1,latitude,-23.533773
1,longitude,-46.62529
2,name,site02_period03
2,type,space
2,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
2,mean_distance_between_sites,11.3 km
2,period,january-feburary 2004
2,temporal_herbivore_abundance,42
2,temporal_plant_abundance,22
2,latitude,-23.533773
2,longitude,-46.62529
2,name,site02_period03
2,type,time
2,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
2,mean_distance_between_sites,11.3 km
2,period,january-feburary 2004
2,temporal_herbivore_abundance,42
2,temporal_plant_abundance,22
2,latitude,-23.533773
2,longitude,-46.62529
3,name,site03_period03
3,type,space
3,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
3,mean_distance_between_sites,11.3 km
3,period,january-feburary 2004
3,temporal_herbivore_abundance,42
3,temporal_plant_abundance,22
3,latitude,-23.533773
3,longitude,-46.62529
3,name,site03_period03
3,type,time
3,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
3,mean_distance_between_sites,11.3 km
3,period,january-feburary 2004
3,temporal_herbivore_abundance,42
3,temporal_plant_abundance,22
3,latitude,-23.533773
3,longitude,-46.62529
4,name,site04_period03
4,type,space
4,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
4,mean_distance_between_sites,11.3 km
4,period,january-feburary 2004
4,temporal_herbivore_abundance,42
4,temporal_plant_abundance,22
4,latitude,-23.533773
4,longitude,-46.62529
4,name,site04_period03
4,type,time
4,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
4,mean_distance_between_sites,11.3 km
4,period,january-feburary 2004
4,temporal_herbivore_abundance,42
4,temporal_plant_abundance,22
4,latitude,-23.533773
4,longitude,-46.62529
5,name,site05_period03
5,type,space
5,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
5,mean_distance_between_sites,11.3 km
5,period,january-feburary 2004
5,temporal_herbivore_abundance,42
5,temporal_plant_abundance,22
5,latitude,-23.533773
5,longitude,-46.62529
5,name,site05_period03
5,type,time
5,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
5,mean_distance_between_sites,11.3 km
5,period,january-feburary 2004
5,temporal_herbivore_abundance,42
5,temporal_plant_abundance,22
5,latitude,-23.533773
5,longitude,-46.62529
6,name,site06_period03
6,type,space
6,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
6,mean_distance_between_sites,11.3 km
6,period,january-feburary 2004
6,temporal_herbivore_abundance,42
6,temporal_plant_abundance,22
6,latitude,-23.533773
6,longitude,-46.62529
6,name,site06_period03
6,type,time
6,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
6,mean_distance_between_sites,11.3 km
6,period,january-feburary 2004
6,temporal_herbivore_abundance,42
6,temporal_plant_abundance,22
6,latitude,-23.533773
6,longitude,-46.62529
7,name,site07_period03
7,type,space
7,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
7,mean_distance_between_sites,11.3 km
7,period,january-feburary 2004
7,temporal_herbivore_abundance,42
7,temporal_plant_abundance,22
7,latitude,-23.533773
7,longitude,-46.62529
7,name,site07_period03
7,type,time
7,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
7,mean_distance_between_sites,11.3 km
7,period,january-feburary 2004
7,temporal_herbivore_abundance,42
7,temporal_plant_abundance,22
7,latitude,-23.533773
7,longitude,-46.62529
8,name,site08_period03
8,type,space
8,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
8,mean_distance_between_sites,11.3 km
8,period,january-feburary 2004
8,temporal_herbivore_abundance,42
8,temporal_plant_abundance,22
8,latitude,-23.533773
8,longitude,-46.62529
8,name,site08_period03
8,type,time
8,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
8,mean_distance_between_sites,11.3 km
8,period,january-feburary 2004
8,temporal_herbivore_abundance,42
8,temporal_plant_abundance,22
8,latitude,-23.533773
8,longitude,-46.62529
9,name,site09_period03
9,type,space
9,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
9,mean_distance_between_sites,11.3 km
9,period,january-feburary 2004
9,temporal_herbivore_abundance,42
9,temporal_plant_abundance,22
9,latitude,-23.533773
9,longitude,-46.62529
9,name,site09_period03
9,type,time
9,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
9,mean_distance_between_sites,11.3 km
9,period,january-feburary 2004
9,temporal_herbivore_abundance,42
9,temporal_plant_abundance,22
9,latitude,-23.533773
9,longitude,-46.62529
10,name,site10_period03
10,type,space
10,location,"remnants of Cerrado vegetattion in Sao Paulo, Brazil"
10,mean_distance_between_sites,11.3 km
10,period,january-feburary 2004
10,temporal_herbivore_abundance,42
10,temporal_plant_abundance,22
10,latitude,-23.533773
10,longitude,-46.62529
10,name,site10_period03
10,type,time
