layer,attribute,value
1,name,Tenerife_Teno_site_1
1,type,space
1,latitude,28.3531
1,longitude,-16.9123
2,name,Tenerife_Teno_site_2
2,type,space
2,latitude,28.3531
2,longitude,-16.9123
3,name,Tenerife_South_site_2
3,type,space
3,latitude,28.2222
3,longitude,-16.4173
4,name,Tenerife_South_site_1
4,type,space
4,latitude,28.2222
4,longitude,-16.4173
5,name,Gran_Canaria_site_2
5,type,space
5,latitude,27.9041
5,longitude,-15.4331
6,name,Gran_Canaria_site_1
6,type,space
6,latitude,27.9041
6,longitude,-15.4331
7,name,Fuerteventura_site_2
7,type,space
7,latitude,28.5643
7,longitude,-13.8914
8,name,Fuerteventura_site_1
8,type,space
8,latitude,28.5643
8,longitude,-13.8914
9,name,Western_Sahara_site_2
9,type,space
9,latitude,26.161
9,longitude,-14.4222
10,name,Western_Sahara_site_1
10,type,space
10,latitude,26.161
10,longitude,-14.4222
11,name,El_Hierro_site_2
11,type,space
11,latitude,27.8047
11,longitude,-17.8954
12,name,El_Hierro_site_1
12,type,space
12,latitude,27.8047
12,longitude,-17.8954
13,name,La_Gomera_site_2
13,type,space
13,latitude,28.0398
13,longitude,-17.2267
14,name,La_Gomera_site_1
14,type,space
14,latitude,28.0398
14,longitude,-17.2267
