attribute,value
data_entry,Spatial_Trojelsgaard2015
multilayer_network_type,Spatial
description,NA
source,Dryad
data_url,https://datadryad.org/stash/dataset/doi:10.5061/dryad.76173
ecological_network_type,Pollination
state_nodes,FALSE
