interaction_id,attribute,value
1,node_from,Microtus_arvalis
1,layer_from,1
1,node_to,Ctenophthalmus_proximus
1,layer_to,1
1,weight,2
1,type,host-parasite
2,node_from,Microtus_arvalis
2,layer_from,1
2,node_to,Ctenophthalmus_hypanis
2,layer_to,1
2,weight,262
2,type,host-parasite
3,node_from,Microtus_arvalis
3,layer_from,1
3,node_to,Ctenophthalmus_inornatus
3,layer_to,1
3,weight,9
3,type,host-parasite
4,node_from,Microtus_arvalis
4,layer_from,1
4,node_to,Megabothris_turbidus
4,layer_to,1
4,weight,118
4,type,host-parasite
5,node_from,Microtus_arvalis
5,layer_from,1
5,node_to,Ctenophthalmus_shovi
5,layer_to,1
5,weight,36
5,type,host-parasite
6,node_from,Microtus_arvalis
6,layer_from,1
6,node_to,Amphipsylla_rossica
6,layer_to,1
6,weight,105
6,type,host-parasite
7,node_from,Microtus_arvalis
7,layer_from,1
7,node_to,Hystrichopsylla_talpae
7,layer_to,1
7,weight,13
7,type,host-parasite
8,node_from,Microtus_arvalis
8,layer_from,1
8,node_to,Amalaraeus_penicilliger
8,layer_to,1
8,weight,3
8,type,host-parasite
9,node_from,Apodemus_sylvaticus
9,layer_from,1
9,node_to,Ctenophthalmus_proximus
9,layer_to,1
9,weight,321
9,type,host-parasite
10,node_from,Apodemus_sylvaticus
10,layer_from,1
10,node_to,Ctenophthalmus_hypanis
10,layer_to,1
10,weight,8
10,type,host-parasite
11,node_from,Apodemus_sylvaticus
11,layer_from,1
11,node_to,Ctenophthalmus_inornatus
11,layer_to,1
11,weight,3
11,type,host-parasite
12,node_from,Apodemus_sylvaticus
12,layer_from,1
12,node_to,Megabothris_turbidus
12,layer_to,1
12,weight,40
12,type,host-parasite
13,node_from,Apodemus_sylvaticus
13,layer_from,1
13,node_to,Ctenophthalmus_shovi
13,layer_to,1
13,weight,45
13,type,host-parasite
14,node_from,Apodemus_sylvaticus
14,layer_from,1
14,node_to,Amphipsylla_rossica
14,layer_to,1
14,weight,4
14,type,host-parasite
15,node_from,Apodemus_sylvaticus
15,layer_from,1
15,node_to,Myoxopsylla_jordani
15,layer_to,1
15,weight,4
15,type,host-parasite
16,node_from,Apodemus_sylvaticus
16,layer_from,1
16,node_to,Nosopsyllus_fasciatus
16,layer_to,1
16,weight,30
16,type,host-parasite
17,node_from,Apodemus_sylvaticus
17,layer_from,1
17,node_to,Leptopsylla_segnis
17,layer_to,1
17,weight,19
17,type,host-parasite
18,node_from,Apodemus_sylvaticus
18,layer_from,1
18,node_to,Leptopsylla_taschenbergi
18,layer_to,1
18,weight,28
18,type,host-parasite
19,node_from,Apodemus_sylvaticus
19,layer_from,1
19,node_to,Hystrichopsylla_talpae
19,layer_to,1
19,weight,3
19,type,host-parasite
20,node_from,Apodemus_sylvaticus
20,layer_from,1
20,node_to,Amphipsylla_georgica
20,layer_to,1
20,weight,2
20,type,host-parasite
21,node_from,Apodemus_sylvaticus
21,layer_from,1
21,node_to,Hystrichopsylla_satunini
21,layer_to,1
21,weight,5
21,type,host-parasite
22,node_from,Apodemus_sylvaticus
22,layer_from,1
22,node_to,Rhadinopsylla_integella
22,layer_to,1
22,weight,3
22,type,host-parasite
23,node_from,Apodemus_sylvaticus
23,layer_from,1
23,node_to,Ceratophyllus_sciurorum
23,layer_to,1
23,weight,4
23,type,host-parasite
24,node_from,Apodemus_sylvaticus
24,layer_from,1
24,node_to,Palaeopsylla_caucasica
24,layer_to,1
24,weight,3
24,type,host-parasite
25,node_from,Prometheomys_schaposchnikowi
25,layer_from,1
25,node_to,Ctenophthalmus_hypanis
25,layer_to,1
25,weight,6
25,type,host-parasite
26,node_from,Prometheomys_schaposchnikowi
26,layer_from,1
26,node_to,Ctenophthalmus_inornatus
26,layer_to,1
26,weight,249
26,type,host-parasite
27,node_from,Prometheomys_schaposchnikowi
27,layer_from,1
27,node_to,Megabothris_turbidus
27,layer_to,1
27,weight,2
27,type,host-parasite
28,node_from,Prometheomys_schaposchnikowi
28,layer_from,1
28,node_to,Amphipsylla_rossica
28,layer_to,1
28,weight,5
28,type,host-parasite
29,node_from,Apodemus_mystacinus
29,layer_from,1
29,node_to,Ctenophthalmus_proximus
29,layer_to,1
29,weight,74
29,type,host-parasite
30,node_from,Apodemus_mystacinus
30,layer_from,1
30,node_to,Ctenophthalmus_hypanis
30,layer_to,1
30,weight,3
30,type,host-parasite
31,node_from,Apodemus_mystacinus
31,layer_from,1
31,node_to,Megabothris_turbidus
31,layer_to,1
31,weight,3
31,type,host-parasite
32,node_from,Apodemus_mystacinus
32,layer_from,1
32,node_to,Ctenophthalmus_shovi
32,layer_to,1
32,weight,13
32,type,host-parasite
33,node_from,Apodemus_mystacinus
33,layer_from,1
33,node_to,Myoxopsylla_jordani
33,layer_to,1
33,weight,2
33,type,host-parasite
34,node_from,Apodemus_mystacinus
34,layer_from,1
34,node_to,Nosopsyllus_fasciatus
34,layer_to,1
34,weight,15
34,type,host-parasite
35,node_from,Apodemus_mystacinus
35,layer_from,1
35,node_to,Leptopsylla_segnis
35,layer_to,1
35,weight,11
35,type,host-parasite
36,node_from,Apodemus_mystacinus
36,layer_from,1
36,node_to,Hystrichopsylla_satunini
36,layer_to,1
36,weight,4
36,type,host-parasite
37,node_from,Apodemus_mystacinus
37,layer_from,1
37,node_to,Ctenophthalmus_euxinicus
37,layer_to,1
37,weight,3
37,type,host-parasite
38,node_from,Microtus_majori
38,layer_from,1
38,node_to,Ctenophthalmus_proximus
38,layer_to,1
38,weight,27
38,type,host-parasite
39,node_from,Microtus_majori
39,layer_from,1
39,node_to,Ctenophthalmus_hypanis
39,layer_to,1
39,weight,4
39,type,host-parasite
40,node_from,Microtus_majori
40,layer_from,1
40,node_to,Megabothris_turbidus
40,layer_to,1
40,weight,27
40,type,host-parasite
41,node_from,Microtus_majori
41,layer_from,1
41,node_to,Ctenophthalmus_shovi
41,layer_to,1
41,weight,34
41,type,host-parasite
42,node_from,Microtus_majori
42,layer_from,1
42,node_to,Amphipsylla_rossica
42,layer_to,1
42,weight,3
42,type,host-parasite
43,node_from,Microtus_majori
43,layer_from,1
43,node_to,Leptopsylla_segnis
43,layer_to,1
43,weight,4
43,type,host-parasite
44,node_from,Microtus_majori
44,layer_from,1
44,node_to,Hystrichopsylla_talpae
44,layer_to,1
44,weight,2
44,type,host-parasite
45,node_from,Microtus_majori
45,layer_from,1
45,node_to,Hystrichopsylla_satunini
45,layer_to,1
45,weight,3
45,type,host-parasite
46,node_from,Dryomys_nitedula
46,layer_from,1
46,node_to,Megabothris_turbidus
46,layer_to,1
46,weight,2
46,type,host-parasite
47,node_from,Dryomys_nitedula
47,layer_from,1
