layer,attribute,value
1,type,space
1,location,Adzharia
1,latitude,42
1,longitude,42.65
1,num_of_species,28
1,num_of_interactions,61
1,connectance,0.339
2,type,space
2,location,Akmolinsk
2,latitude,51.166667
2,longitude,71.416667
2,num_of_species,42
2,num_of_interactions,96
2,connectance,0.222
3,type,space
3,location,Altai
3,latitude,49
3,longitude,89
3,num_of_species,32
3,num_of_interactions,108
3,connectance,0.522
4,type,space
4,location,Amur
4,latitude,50.283333
4,longitude,127.533333
4,num_of_species,27
4,num_of_interactions,52
4,connectance,0.413
5,type,space
5,location,Amur-Bureya
5,latitude,49.81212
5,longitude,129.81278
5,num_of_species,20
5,num_of_interactions,51
5,connectance,0.56
6,type,space
6,location,Armenia
6,latitude,40.183529
6,longitude,44.516602
6,num_of_species,53
6,num_of_interactions,123
6,connectance,0.208
7,type,space
7,location,Central Yakutia
7,latitude,66.4
7,longitude,129.166667
7,num_of_species,25
7,num_of_interactions,43
7,connectance,0.316
8,type,space
8,location,Chimkent
8,latitude,42.316667
8,longitude,69.595833
8,num_of_species,32
8,num_of_interactions,37
8,connectance,0.193
9,type,space
9,location,Dzhungarsky Alatau
9,latitude,45
9,longitude,80
9,num_of_species,36
9,num_of_interactions,97
9,connectance,0.315
10,type,space
10,location,East Balkhash
10,latitude,46.166667
10,longitude,74.333333
10,num_of_species,49
10,num_of_interactions,88
10,connectance,0.158
11,type,space
11,location,East Pamir
11,latitude,39
11,longitude,72
11,num_of_species,23
11,num_of_interactions,43
11,connectance,0.566
12,type,space
12,location,Gissar
12,latitude,38.7775
12,longitude,68.423056
12,num_of_species,30
12,num_of_interactions,63
12,connectance,0.391
13,type,space
13,location,Guriev
13,latitude,47.256864
13,longitude,52.064209
13,num_of_species,33
13,num_of_interactions,103
13,connectance,0.426
14,type,space
14,location,Kabarda
14,latitude,43.583333
14,longitude,43.4
14,num_of_species,30
14,num_of_interactions,68
14,connectance,0.325
15,type,space
15,location,Kamchatka
15,latitude,57
15,longitude,160
15,num_of_species,10
15,num_of_interactions,12
15,connectance,0.571
16,type,space
16,location,Khabarovsk
16,latitude,48.483333
16,longitude,135.066667
16,num_of_species,27
16,num_of_interactions,52
16,connectance,0.413
17,type,space
17,location,Khasan
17,latitude,42.435906
17,longitude,130.611006
17,num_of_species,14
17,num_of_interactions,19
17,connectance,0.422
18,type,space
18,location,Kostroma
18,latitude,57.766667
18,longitude,40.933333
18,num_of_species,36
18,num_of_interactions,127
18,connectance,0.403
19,type,space
19,location,Krasnojarsk
19,latitude,56.016667
19,longitude,93.066667
19,num_of_species,27
19,num_of_interactions,36
19,connectance,0.222
20,type,space
20,location,Kurgan
20,latitude,55.566667
20,longitude,64.75
20,num_of_species,33
20,num_of_interactions,105
20,connectance,0.386
21,type,space
21,location,Kursk
21,latitude,51.716667
21,longitude,36.183333
21,num_of_species,24
21,num_of_interactions,57
21,connectance,0.422
22,type,space
22,location,Kustanai
22,latitude,53.2
22,longitude,63.633333
22,num_of_species,34
22,num_of_interactions,68
22,connectance,0.236
23,type,space
23,location,Middle Urals
23,latitude,58.066256
23,longitude,59.002075
23,num_of_species,17
23,num_of_interactions,41
23,connectance,0.569
24,type,space
24,location,Mongolia-Central Khangay
24,latitude,47.5
24,longitude,100
24,num_of_species,27
24,num_of_interactions,39
24,connectance,0.279
25,type,space
25,location,Mongolia-NorthWestern Khangay
25,latitude,47.569114
25,longitude,99.162598
25,num_of_species,58
25,num_of_interactions,107
25,connectance,0.149
26,type,space
26,location,Moscow
26,latitude,55.75
26,longitude,37.616667
26,num_of_species,33
26,num_of_interactions,142
26,connectance,0.526
27,type,space
27,location,Moyyunkum
27,latitude,44.284045
27,longitude,72.948189
27,num_of_species,47
27,num_of_interactions,108
27,connectance,0.212
28,type,space
28,location,Nakhichevan
28,latitude,39.208889
28,longitude,45.412222
28,num_of_species,19
28,num_of_interactions,19
28,connectance,0.317
29,type,space
29,location,Kyrgyz Republic
29,latitude,42.866667
29,longitude,74.6
29,num_of_species,49
29,num_of_interactions,79
29,connectance,0.155
30,type,space
30,location,North Russian Far East
30,latitude,65.694476
30,longitude,148.710938
30,num_of_species,29
30,num_of_interactions,51
30,connectance,0.243
31,type,space
