layer,attribute,value
1,type,space
1,location,"Rocky Mountain Biological Laboratory,Gothic,CO,USA"
1,site,shady_point
1,week,1
1,year,2013
1,start_date,2013-05-24
1,end_date,2013-05-24
1,latitude,37.933364
1,longitude,-107.9038794
1,type,time
1,location,"Rocky Mountain Biological Laboratory,Gothic,CO,USA"
1,site,shady_point
1,week,1
1,year,2013
1,start_date,2013-05-24
1,end_date,2013-05-24
1,latitude,37.933364
1,longitude,-107.9038794
2,type,space
2,location,"Rocky Mountain Biological Laboratory,Gothic,CO,USA"
2,site,twin_meadows
2,week,1
2,year,2013
2,start_date,2013-05-24
2,end_date,2013-05-24
2,latitude,39.150357
2,longitude,-106.252863
2,type,time
2,location,"Rocky Mountain Biological Laboratory,Gothic,CO,USA"
2,site,twin_meadows
2,week,1
2,year,2013
2,start_date,2013-05-24
2,end_date,2013-05-24
2,latitude,39.150357
2,longitude,-106.252863
3,type,space
3,location,"Rocky Mountain Biological Laboratory,Gothic,CO,USA"
3,site,shady_point
3,week,1
3,year,2014
3,start_date,2014-06-03
3,end_date,2014-06-05
3,latitude,37.933364
3,longitude,-107.9038794
3,type,time
3,location,"Rocky Mountain Biological Laboratory,Gothic,CO,USA"
3,site,shady_point
3,week,1
3,year,2014
3,start_date,2014-06-03
3,end_date,2014-06-05
3,latitude,37.933364
3,longitude,-107.9038794
4,type,space
4,location,"Rocky Mountain Biological Laboratory,Gothic,CO,USA"
4,site,twin_meadows
4,week,1
4,year,2014
4,start_date,2014-06-03
4,end_date,2014-06-05
4,latitude,39.150357
4,longitude,-106.252863
4,type,time
4,location,"Rocky Mountain Biological Laboratory,Gothic,CO,USA"
4,site,twin_meadows
4,week,1
4,year,2014
4,start_date,2014-06-03
4,end_date,2014-06-05
4,latitude,39.150357
4,longitude,-106.252863
5,type,space
5,location,"Rocky Mountain Biological Laboratory,Gothic,CO,USA"
5,site,shady_point
5,week,1
5,year,2015
5,start_date,2015-05-12
5,end_date,2015-05-13
5,latitude,37.933364
5,longitude,-107.9038794
5,type,time
5,location,"Rocky Mountain Biological Laboratory,Gothic,CO,USA"
5,site,shady_point
5,week,1
5,year,2015
5,start_date,2015-05-12
5,end_date,2015-05-13
5,latitude,37.933364
5,longitude,-107.9038794
6,type,space
6,location,"Rocky Mountain Biological Laboratory,Gothic,CO,USA"
6,site,twin_meadows
6,week,1
6,year,2015
6,start_date,2015-05-12
6,end_date,2015-05-14
6,latitude,39.150357
6,longitude,-106.252863
6,type,time
6,location,"Rocky Mountain Biological Laboratory,Gothic,CO,USA"
6,site,twin_meadows
6,week,1
6,year,2015
6,start_date,2015-05-12
6,end_date,2015-05-14
6,latitude,39.150357
6,longitude,-106.252863
7,type,space
