doi,author,year,paper_url,ISSN
10.1016/j.ecolmodel.2004.06.025,Ronaldo Angelini,2005-01-20,https://www.sciencedirect.com/science/article/pii/S0304380004003606,NA
NA,Ronaldo Angelini,2011-01-01,https://www.researchgate.net/publication/287728990_Mixed_food_web_control_and_stability_in_a_Cerrado_river_Brazil,1809-9009
