interaction_id,attribute,value
42,layer_to,1
42,weight,1
42,type,predation
43,node_from,saprophagous_plankton
43,layer_from,1
43,node_to,detritus
43,layer_to,1
43,weight,1
43,type,detritivore
44,node_from,large-sized_phytoplankton
44,layer_from,1
44,node_to,detritus
44,layer_to,1
44,weight,1
44,type,detritivore
45,node_from,Oikopleura
45,layer_from,1
45,node_to,detritus
45,layer_to,1
45,weight,1
45,type,detritivore
46,node_from,II-III_copepodites
46,layer_from,1
46,node_to,detritus
46,layer_to,1
46,weight,1
46,type,detritivore
47,node_from,IV-VI_copepodites_of_Paracalanus
47,layer_from,1
47,node_to,detritus
47,layer_to,1
47,weight,1
47,type,detritivore
48,node_from,larvae_of_molluscs_and_polychaetes
48,layer_from,1
48,node_to,detritus
48,layer_to,1
48,weight,1
48,type,detritivore
49,node_from,naupliuses
49,layer_from,1
49,node_to,detritus
49,layer_to,1
49,weight,1
49,type,detritivore
50,node_from,IV-VI_copepodites_of_Calanus_and_Pseudocalanus
50,layer_from,1
50,node_to,detritus
50,layer_to,1
50,weight,1
50,type,detritivore
51,node_from,mixed-food_consumers
51,layer_from,1
51,node_to,detritus
51,layer_to,1
51,weight,1
51,type,detritivore
52,node_from,primary_carnivores
52,layer_from,1
52,node_to,detritus
52,layer_to,1
52,weight,1
52,type,detritivore
53,node_from,Oikopleura
53,layer_from,2
53,node_to,phytoplankton
53,layer_to,2
53,weight,1
53,type,herbivory
54,node_from,mixed-food_consumers
54,layer_from,2
54,node_to,Oikopleura
54,layer_to,2
54,weight,1
54,type,predation
55,node_from,II-III_copepodites
55,layer_from,2
55,node_to,phytoplankton
55,layer_to,2
55,weight,1
55,type,herbivory
56,node_from,IV-VI_copepodites_of_Paracalanus
56,layer_from,2
56,node_to,phytoplankton
56,layer_to,2
56,weight,1
56,type,herbivory
57,node_from,larvae_of_molluscs_and_polychaetes
57,layer_from,2
57,node_to,large-sized_phytoplankton
57,layer_to,2
57,weight,1
57,type,herbivory
58,node_from,naupliuses
58,layer_from,2
58,node_to,large-sized_phytoplankton
58,layer_to,2
58,weight,1
58,type,herbivory
59,node_from,IV-VI_copepodites_of_Calanus_and_Pseudocalanus
59,layer_from,2
59,node_to,large-sized_phytoplankton
59,layer_to,2
59,weight,1
59,type,herbivory
60,node_from,mixed-food_consumers
60,layer_from,2
60,node_to,large-sized_phytoplankton
60,layer_to,2
60,weight,1
60,type,herbivory
61,node_from,mixed-food_consumers
61,layer_from,2
61,node_to,naupliuses
61,layer_to,2
61,weight,1
61,type,predation
62,node_from,primary_carnivores
62,layer_from,2
62,node_to,IV-VI_copepodites_of_Paracalanus
62,layer_to,2
62,weight,1
62,type,predation
63,node_from,secondary_carnivores
63,layer_from,2
63,node_to,II-III_copepodites
63,layer_to,2
63,weight,1
63,type,predation
64,node_from,secondary_carnivores
64,layer_from,2
64,node_to,IV-VI_copepodites_of_Calanus_and_Pseudocalanus
64,layer_to,2
64,weight,1
64,type,predation
65,node_from,tertiary_carnivores
65,layer_from,2
65,node_to,IV-VI_copepodites_of_Paracalanus
65,layer_to,2
65,weight,1
65,type,predation
66,node_from,tertiary_carnivores
66,layer_from,2
66,node_to,secondary_carnivores
66,layer_to,2
66,weight,1
66,type,predation
67,node_from,Oikopleura
67,layer_from,2
67,node_to,saprophagous_plankton
67,layer_to,2
67,weight,1
67,type,predation
68,node_from,II-III_copepodites
68,layer_from,2
68,node_to,large-sized_phytoplankton
68,layer_to,2
68,weight,1
68,type,herbivory
69,node_from,larvae_of_molluscs_and_polychaetes
69,layer_from,2
69,node_to,phytoplankton
69,layer_to,2
69,weight,1
69,type,herbivory
70,node_from,naupliuses
70,layer_from,2
70,node_to,phytoplankton
70,layer_to,2
70,weight,1
70,type,herbivory
71,node_from,IV-VI_copepodites_of_Calanus_and_Pseudocalanus
71,layer_from,2
71,node_to,phytoplankton
71,layer_to,2
71,weight,1
71,type,herbivory
72,node_from,mixed-food_consumers
72,layer_from,2
72,node_to,phytoplankton
72,layer_to,2
72,weight,1
72,type,herbivory
73,node_from,mixed-food_consumers
73,layer_from,2
73,node_to,II-III_copepodites
73,layer_to,2
73,weight,1
73,type,predation
74,node_from,primary_carnivores
74,layer_from,2
74,node_to,Oikopleura
74,layer_to,2
74,weight,1
74,type,predation
75,node_from,primary_carnivores
75,layer_from,2
75,node_to,mixed-food_consumers
75,layer_to,2
75,weight,1
75,type,predation
76,node_from,secondary_carnivores
76,layer_from,2
76,node_to,larvae_of_molluscs_and_polychaetes
76,layer_to,2
76,weight,1
76,type,predation
77,node_from,secondary_carnivores
77,layer_from,2
77,node_to,primary_carnivores
77,layer_to,2
77,weight,1
77,type,predation
78,node_from,tertiary_carnivores
78,layer_from,2
78,node_to,mixed-food_consumers
78,layer_to,2
78,weight,1
78,type,predation
79,node_from,larvae_of_molluscs_and_polychaetes
79,layer_from,2
79,node_to,saprophagous_plankton
79,layer_to,2
79,weight,1
79,type,predation
80,node_from,naupliuses
80,layer_from,2
80,node_to,saprophagous_plankton
80,layer_to,2
80,weight,1
80,type,predation
81,node_from,IV-VI_copepodites_of_Calanus_and_Pseudocalanus
81,layer_from,2
81,node_to,saprophagous_plankton
81,layer_to,2
81,weight,1
81,type,predation
82,node_from,mixed-food_consumers
82,layer_from,2
82,node_to,larvae_of_molluscs_and_polychaetes
82,layer_to,2
82,weight,1
82,type,predation
83,node_from,primary_carnivores
83,layer_from,2
83,node_to,II-III_copepodites
83,layer_to,2
83,weight,1
83,type,predation
84,node_from,secondary_carnivores
84,layer_from,2
84,node_to,Oikopleura
84,layer_to,2
84,weight,1
84,type,predation
85,node_from,secondary_carnivores
85,layer_from,2
85,node_to,naupliuses
85,layer_to,2
85,weight,1
85,type,predation
86,node_from,tertiary_carnivores
86,layer_from,2
86,node_to,II-III_copepodites
86,layer_to,2
86,weight,1
86,type,predation
87,node_from,tertiary_carnivores
87,layer_from,2
87,node_to,primary_carnivores
87,layer_to,2
87,weight,1
87,type,predation
88,node_from,primary_carnivores
88,layer_from,2
88,node_to,naupliuses
88,layer_to,2
88,weight,1
88,type,predation
89,node_from,secondary_carnivores
89,layer_from,2
89,node_to,IV-VI_copepodites_of_Paracalanus
89,layer_to,2
89,weight,1
89,type,predation
90,node_from,secondary_carnivores
90,layer_from,2
90,node_to,mixed-food_consumers
90,layer_to,2
90,weight,1
90,type,predation
91,node_from,tertiary_carnivores
91,layer_from,2
91,node_to,IV-VI_copepodites_of_Calanus_and_Pseudocalanus
91,layer_to,2
91,weight,1
91,type,predation
92,node_from,primary_carnivores
92,layer_from,2
92,node_to,detritus
92,layer_to,2
92,weight,1
92,type,detritivore
93,node_from,Oikopleura
93,layer_from,2
93,node_to,detritus
93,layer_to,2
93,weight,1
93,type,detritivore
94,node_from,saprophagous_plankton
94,layer_from,2
94,node_to,detritus
94,layer_to,2
94,weight,1
94,type,detritivore
95,node_from,large-sized_phytoplankton
95,layer_from,2
95,node_to,detritus
95,layer_to,2
95,weight,1
95,type,detritivore
96,node_from,II-III_copepodites
96,layer_from,2
96,node_to,detritus
96,layer_to,2
96,weight,1
96,type,detritivore
97,node_from,IV-VI_copepodites_of_Paracalanus
97,layer_from,2
97,node_to,detritus
97,layer_to,2
97,weight,1
97,type,detritivore
98,node_from,larvae_of_molluscs_and_polychaetes
98,layer_from,2
98,node_to,detritus
98,layer_to,2
98,weight,1
98,type,detritivore
99,node_from,naupliuses
99,layer_from,2
99,node_to,detritus
99,layer_to,2
99,weight,1
99,type,detritivore
100,node_from,IV-VI_copepodites_of_Calanus_and_Pseudocalanus
100,layer_from,2
100,node_to,detritus
100,layer_to,2
100,weight,1
100,type,detritivore
101,node_from,mixed-food_consumers
101,layer_from,2
101,node_to,detritus
101,layer_to,2
101,weight,1
101,type,detritivore
102,node_from,II-III_copepodites
102,layer_from,2
102,node_to,saprophagous_plankton
102,layer_to,2
102,weight,1
102,type,predation
103,node_from,mixed-food_consumers
103,layer_from,2
103,node_to,saprophagous_plankton
103,layer_to,2
103,weight,1
103,type,predation
