"ID","Species","Interactions","Connectance","Type of interactions","Type of data","Reference","Locality of Studi","Latitude","Longitude"
"M_PL_006","78","146","0.141","Pollination","1","Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43.","Hickling, Norfolk, UK","52.762395","1.575532"
"M_PL_007","52","85","0.148","Pollination","1","Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43.","Shelfanger, Norfolk, UK","52.413173","1.097873"
