"node_id","attribute","value"
40,"type","Pollinator"
40,"kingdom","Animals"
40,"taxa_verified","TRUE"
40,"verification_level","species"
41,"node_name","Odontomyia_tigrina"
41,"type","Pollinator"
41,"kingdom","Animals"
41,"taxa_verified","FALSE"
42,"node_name","Odontomyia_viridula"
42,"type","Pollinator"
42,"kingdom","Animals"
42,"taxa_verified","FALSE"
43,"node_name","Oligia_sp1_M_PL_006"
43,"type","Pollinator"
43,"kingdom","Animals"
43,"taxa_verified","TRUE"
43,"verification_level","genus"
44,"node_name","Parhelophilus_sp1_M_PL_006"
44,"type","Pollinator"
44,"kingdom","Animals"
44,"taxa_verified","TRUE"
44,"verification_level","genus"
45,"node_name","Phaonia_incarna"
45,"type","Pollinator"
45,"kingdom","Animals"
45,"taxa_verified","FALSE"
46,"node_name","Platycheirus_sp1_M_PL_006"
46,"type","Pollinator"
46,"kingdom","Animals"
46,"taxa_verified","TRUE"
46,"verification_level","genus"
47,"node_name","Pollenia_sp1_M_PL_006"
47,"type","Pollinator"
47,"kingdom","Animals"
47,"taxa_verified","TRUE"
47,"verification_level","genus"
48,"node_name","Polyommatus_icarus"
48,"type","Pollinator"
48,"kingdom","Animals"
48,"taxa_verified","TRUE"
48,"verification_level","species"
49,"node_name","Psithyrus_vest"
49,"type","Pollinator"
49,"kingdom","Animals"
49,"taxa_verified","FALSE"
50,"node_name","Pyronia_tithonus"
50,"type","Pollinator"
50,"kingdom","Animals"
50,"taxa_verified","TRUE"
50,"verification_level","species"
51,"node_name","Rhagio_tringarius"
51,"type","Pollinator"
51,"kingdom","Animals"
51,"taxa_verified","TRUE"
51,"verification_level","species"
52,"node_name","Rhagonycha_fulva"
52,"type","Pollinator"
52,"kingdom","Animals"
52,"taxa_verified","TRUE"
52,"verification_level","species"
53,"node_name","Sarcophagus_sp1_M_PL_006"
53,"type","Pollinator"
53,"kingdom","Animals"
53,"taxa_verified","FALSE"
54,"node_name","Scathophaga_stercoraria"
54,"type","Pollinator"
54,"kingdom","Animals"
54,"taxa_verified","TRUE"
54,"verification_level","species"
55,"node_name","Sphaerophoria_sp1_M_PL_006"
55,"type","Pollinator"
55,"kingdom","Animals"
55,"taxa_verified","TRUE"
55,"verification_level","genus"
56,"node_name","Syritta_pipiens"
56,"type","Pollinator"
56,"kingdom","Animals"
56,"taxa_verified","TRUE"
56,"verification_level","species"
57,"node_name","Syrphus_sp1_M_PL_006"
57,"type","Pollinator"
57,"kingdom","Animals"
57,"taxa_verified","TRUE"
57,"verification_level","genus"
58,"node_name","Tetanocera_ferruginea"
58,"type","Pollinator"
58,"kingdom","Animals"
58,"taxa_verified","TRUE"
58,"verification_level","species"
59,"node_name","Thymelicus_sp1_M_PL_006"
59,"type","Pollinator"
59,"kingdom","Animals"
59,"taxa_verified","TRUE"
59,"verification_level","genus"
60,"node_name","Tropidia_scitta"
60,"type","Pollinator"
60,"kingdom","Animals"
60,"taxa_verified","FALSE"
61,"node_name","Zygaena_filipendulae"
61,"type","Pollinator"
61,"kingdom","Animals"
61,"taxa_verified","TRUE"
61,"verification_level","species"
62,"node_name","Achillea_millefolium"
62,"type","Plant"
62,"kingdom","Plants"
62,"taxa_verified","TRUE"
62,"verification_level","species"
63,"node_name","Centaurea_nigra"
63,"type","Plant"
63,"kingdom","Plants"
63,"taxa_verified","TRUE"
63,"verification_level","species"
64,"node_name","Cirsium_arvense"
64,"type","Plant"
64,"kingdom","Plants"
64,"taxa_verified","TRUE"
64,"verification_level","species"
65,"node_name","Hypochoeris_radicata"
65,"type","Plant"
65,"kingdom","Plants"
65,"taxa_verified","TRUE"
65,"verification_level","species"
66,"node_name","Lathyrus_pratensis"
66,"type","Plant"
66,"kingdom","Plants"
66,"taxa_verified","TRUE"
66,"verification_level","species"
67,"node_name","Leucanthemum_vulgare"
67,"type","Plant"
67,"kingdom","Plants"
67,"taxa_verified","TRUE"
67,"verification_level","species"
68,"node_name","Lotus_corniculatus"
68,"type","Plant"
68,"kingdom","Plants"
68,"taxa_verified","TRUE"
68,"verification_level","species"
69,"node_name","Lychnis_flos-cuculi"
69,"type","Plant"
69,"kingdom","Plants"
69,"taxa_verified","TRUE"
69,"verification_level","species"
70,"node_name","Plantago_lanceolata"
70,"type","Plant"
70,"kingdom","Plants"
70,"taxa_verified","TRUE"
70,"verification_level","species"
71,"node_name","Prunella_vulgaris"
71,"type","Plant"
71,"kingdom","Plants"
71,"taxa_verified","TRUE"
71,"verification_level","species"
72,"node_name","Ranunculus_acris"
72,"type","Plant"
72,"kingdom","Plants"
72,"taxa_verified","TRUE"
72,"verification_level","species"
73,"node_name","Taraxacum_officinale"
73,"type","Plant"
73,"kingdom","Plants"
73,"taxa_verified","TRUE"
73,"verification_level","species"
74,"node_name","Trifolium_dubium"
74,"type","Plant"
74,"kingdom","Plants"
74,"taxa_verified","TRUE"
74,"verification_level","species"
75,"node_name","Trifolium_pratense"
75,"type","Plant"
75,"kingdom","Plants"
75,"taxa_verified","TRUE"
75,"verification_level","species"
76,"node_name","Trifolium_repens"
76,"type","Plant"
76,"kingdom","Plants"
76,"taxa_verified","TRUE"
76,"verification_level","species"
77,"node_name","Vicia_cracca"
77,"type","Plant"
77,"kingdom","Plants"
77,"taxa_verified","TRUE"
77,"verification_level","species"
78,"node_name","Vicia_sativa"
78,"type","Plant"
78,"kingdom","Plants"
78,"taxa_verified","TRUE"
78,"verification_level","species"
79,"node_name","Andrena_chrysosceles"
79,"type","Pollinator"
79,"kingdom","Animals"
79,"taxa_verified","TRUE"
79,"verification_level","species"
80,"node_name","Anthophora_plumipes"
80,"type","Pollinator"
80,"kingdom","Animals"
80,"taxa_verified","TRUE"
80,"verification_level","species"
81,"node_name","Apis_mellifera"
81,"type","Pollinator"
81,"kingdom","Animals"
81,"taxa_verified","TRUE"
81,"verification_level","species"
82,"node_name","Calocoris_bipunctatus"
82,"type","Pollinator"
82,"kingdom","Animals"
82,"taxa_verified","FALSE"
83,"node_name","Cephus_pygmaeus"
83,"type","Pollinator"
83,"kingdom","Animals"
83,"taxa_verified","TRUE"
83,"verification_level","species"
84,"node_name","Cheilosia_bergenstammi"
84,"type","Pollinator"
84,"kingdom","Animals"
84,"taxa_verified","TRUE"
84,"verification_level","species"
85,"node_name","Episyrphus_balteatus"
85,"type","Pollinator"
85,"kingdom","Animals"
85,"taxa_verified","TRUE"
85,"verification_level","species"
86,"node_name","Helophilus_sp1_M_PL_007"
86,"type","Pollinator"
86,"kingdom","Animals"
86,"taxa_verified","TRUE"
86,"verification_level","genus"
87,"node_name","Lucillia_sp1_M_PL_007"
87,"type","Pollinator"
87,"kingdom","Animals"
87,"taxa_verified","TRUE"
87,"verification_level","genus"
88,"node_name","Melanostoma_sp1_M_PL_007"
88,"type","Pollinator"
88,"kingdom","Animals"
88,"taxa_verified","TRUE"
88,"verification_level","genus"
89,"node_name","Meliscaeva_sp1_M_PL_007"
89,"type","Pollinator"
89,"kingdom","Animals"
89,"taxa_verified","TRUE"
89,"verification_level","genus"
90,"node_name","Panameria_tenebrata"
90,"type","Pollinator"
90,"kingdom","Animals"
90,"taxa_verified","FALSE"
91,"node_name","Platycheirus_sp1_M_PL_007"
91,"type","Pollinator"
91,"kingdom","Animals"
91,"taxa_verified","TRUE"
91,"verification_level","genus"
92,"node_name","Pollenia_sp1_M_PL_007"
92,"type","Pollinator"
92,"kingdom","Animals"
92,"taxa_verified","TRUE"
92,"verification_level","genus"
93,"node_name","Sarcophagus_sp1_M_PL_007"
93,"type","Pollinator"
93,"kingdom","Animals"
93,"taxa_verified","FALSE"
94,"node_name","Sphaerophoria_sp1_M_PL_007"
94,"type","Pollinator"
94,"kingdom","Animals"
94,"taxa_verified","TRUE"
94,"verification_level","genus"
95,"node_name","Syrphus_sp1_M_PL_007"
95,"type","Pollinator"
95,"kingdom","Animals"
95,"taxa_verified","TRUE"
95,"verification_level","genus"
96,"node_name","Volucella_bombylans"
96,"type","Pollinator"
96,"kingdom","Animals"
96,"taxa_verified","TRUE"
96,"verification_level","species"
97,"node_name","Cerastium_fontanum"
97,"type","Plant"
97,"kingdom","Plants"
97,"taxa_verified","TRUE"
97,"verification_level","species"
98,"node_name","Cirsium_palustre"
98,"type","Plant"
98,"kingdom","Plants"
98,"taxa_verified","TRUE"
98,"verification_level","species"
99,"node_name","Filipendula_ulmaria"
99,"type","Plant"
99,"kingdom","Plants"
99,"taxa_verified","TRUE"
99,"verification_level","species"
100,"node_name","Galium_verum"
100,"type","Plant"
100,"kingdom","Plants"
100,"taxa_verified","TRUE"
100,"verification_level","species"
101,"node_name","Orchis_morio"
101,"type","Plant"
101,"kingdom","Plants"
101,"taxa_verified","TRUE"
101,"verification_level","species"
102,"node_name","Primula_veris"
102,"type","Plant"
102,"kingdom","Plants"
102,"taxa_verified","TRUE"
102,"verification_level","species"
