layer,attribute,value
1,name,M_PL_006
1,type,space
1,species,78
1,loaction,"Hickling, Norfolk, UK"
1,interactions,146
1,connectance,0.141
1,latitude,52.762395
1,longitude,1.575532
2,name,M_PL_007
2,type,space
2,species,52
2,loaction,"Shelfanger, Norfolk, UK"
2,interactions,85
2,connectance,0.148
2,latitude,52.413173
2,longitude,1.097873
