attribute,value
data_entry,ofir_segev
multilayer_network_type,Multiplex
description,NA
source,Figshare
data_url,https://doi.org/10.6084/m9.figshare.c.5208546.v1
ecological_network_type,Multiple
state_nodes,FALSE
