attribute,value
data_entry,ofir_segev
multilayer_network_type,Environment
multilayer_network_type,Temporal
description,NA
source,mangal
data_url,https://mangal.io/doc/api/
mangal_code,141
ecological_network_type,Food-Web
state_nodes,FALSE
