layer,attribute,value
1,date,25/07/2002
1,description,Food web structure of an arctic stream
1,directed,TRUE
1,habitat,Ivishak Spring Stream
1,latitude,69.032450495934
1,location,Alaska
1,longitude,-147.715944677178
1,type,time
1,type,environment
2,date,25/07/2002
2,description,Food web structure of an arctic stream
2,directed,TRUE
2,habitat,Ivishak Mountain Stream
2,latitude,69.032450495934
2,location,Alaska
2,longitude,-147.715944677178
2,type,time
2,type,environment
3,date,04/08/2002
3,description,Food web structure of an arctic stream
3,directed,TRUE
3,habitat,Ivishak Spring Stream
3,latitude,69.032450495934
3,location,Alaska
3,longitude,-147.715944677178
3,type,time
3,type,environment
4,date,04/08/2002
4,description,Food web structure of an arctic stream
4,directed,TRUE
4,habitat,Ivishak Mountain Stream
4,latitude,69.032450495934
4,location,Alaska
4,longitude,-147.715944677178
4,type,time
4,type,environment
