"node_id","attribute","value"
34,"taxa_verified","TRUE"
34,"verification_level","species"
35,"node_name","B35"
35,"type","seed_disperser"
35,"species","Trogon_melanocephalus"
35,"migratory_status","Resident"
35,"taxa_verified","TRUE"
35,"verification_level","species"
36,"node_name","B36"
36,"type","seed_disperser"
36,"species","Turdus_grayi"
36,"migratory_status","Resident"
36,"taxa_verified","TRUE"
36,"verification_level","species"
37,"node_name","B37"
37,"type","seed_disperser"
37,"species","Tyrannus_forficatus"
37,"migratory_status","Migratory"
37,"taxa_verified","TRUE"
37,"verification_level","species"
38,"node_name","B38"
38,"type","seed_disperser"
38,"species","Tyrannus_melancholicus"
38,"migratory_status","Resident"
38,"taxa_verified","TRUE"
38,"verification_level","species"
39,"node_name","B39"
39,"type","seed_disperser"
39,"species","Tyrannus_tyrannus"
39,"migratory_status","Migratory"
39,"taxa_verified","TRUE"
39,"verification_level","species"
40,"node_name","B40"
40,"type","seed_disperser"
40,"species","Vireo_griseus"
40,"migratory_status","Migratory"
40,"taxa_verified","TRUE"
40,"verification_level","species"
41,"node_name","B41"
41,"type","seed_disperser"
41,"species","Vireo_philadelphicus"
41,"migratory_status","Migratory"
41,"taxa_verified","TRUE"
41,"verification_level","species"
42,"node_name","B42"
42,"type","seed_disperser"
42,"species","Vireo_solitarius"
42,"migratory_status","Migratory"
42,"taxa_verified","TRUE"
42,"verification_level","species"
43,"node_name","P1"
43,"type","plant"
43,"species","Achatocarpus_nigricans_Triana"
43,"migratory_status",NA
43,"taxa_verified","TRUE"
43,"verification_level","species"
44,"node_name","P2"
44,"type","plant"
44,"species","Bursera_fagaroides_(Kunth)_Engl."
44,"migratory_status",NA
44,"taxa_verified","TRUE"
44,"verification_level","species"
45,"node_name","P3"
45,"type","plant"
45,"species","Bursera_simaruba_(L.)_Sarg."
45,"migratory_status",NA
45,"taxa_verified","TRUE"
45,"verification_level","species"
46,"node_name","P4"
46,"type","plant"
46,"species","Casearia_corymbosa_Kunth"
46,"migratory_status",NA
46,"taxa_verified","FALSE"
47,"node_name","P5"
47,"type","plant"
47,"species","Chiococca_alba_(L.)_Hitchc."
47,"migratory_status",NA
47,"taxa_verified","TRUE"
47,"verification_level","species"
48,"node_name","P6"
48,"type","plant"
48,"species","Coccoloba_barbadensis_Jacq."
48,"migratory_status",NA
48,"taxa_verified","TRUE"
48,"verification_level","species"
49,"node_name","P7"
49,"type","plant"
49,"species","Cordia_dentata_Poir."
49,"migratory_status",NA
49,"taxa_verified","TRUE"
49,"verification_level","species"
50,"node_name","P8"
50,"type","plant"
50,"species","Crateva_tapia_L."
50,"migratory_status",NA
50,"taxa_verified","FALSE"
51,"node_name","P9"
51,"type","plant"
51,"species","Chrysobalanus_icaco_L."
51,"migratory_status",NA
51,"taxa_verified","TRUE"
51,"verification_level","species"
52,"node_name","P10"
52,"type","plant"
52,"species","Crossopetalum_uragoga_(Jacq.)_Kuntze"
52,"migratory_status",NA
52,"taxa_verified","TRUE"
52,"verification_level","species"
53,"node_name","P11"
53,"type","plant"
53,"species","Cupania_dentata_Moc._&_Sessé_ex_DC."
53,"migratory_status",NA
53,"taxa_verified","FALSE"
54,"node_name","P12"
54,"type","plant"
54,"species","Dendropanax_arboreus_(L.)_Decne._&_Planch."
54,"migratory_status",NA
54,"taxa_verified","TRUE"
54,"verification_level","species"
55,"node_name","P13"
55,"type","plant"
55,"species","Diospyros_verae-crucis_(Standl.)_Standl."
55,"migratory_status",NA
55,"taxa_verified","FALSE"
56,"node_name","P14"
56,"type","plant"
56,"species","Ehretia_tinifolia_L."
56,"migratory_status",NA
56,"taxa_verified","TRUE"
56,"verification_level","species"
57,"node_name","P15"
57,"type","plant"
57,"species","Ficus_cotinifolia_Kunth"
57,"migratory_status",NA
57,"taxa_verified","FALSE"
58,"node_name","P16"
58,"type","plant"
58,"species","Ficus_insipida_Willd."
58,"migratory_status",NA
58,"taxa_verified","TRUE"
58,"verification_level","species"
59,"node_name","P17"
59,"type","plant"
59,"species","Ficus_sp"
59,"migratory_status",NA
59,"taxa_verified","TRUE"
59,"verification_level","genus"
60,"node_name","P18"
60,"type","plant"
60,"species","Karwinskia_humboldtiana_(Schult.)_Zucc."
60,"migratory_status",NA
60,"taxa_verified","FALSE"
61,"node_name","P19"
61,"type","plant"
61,"species","Maclura_tinctoria_(L.)_D.Don_ex_Steud."
61,"migratory_status",NA
61,"taxa_verified","FALSE"
62,"node_name","P20"
62,"type","plant"
62,"species","Nectandra_salicifolia_(Kunth)_Nees"
62,"migratory_status",NA
62,"taxa_verified","TRUE"
62,"verification_level","species"
