layer,attribute,value
1,name,nov13
1,type,time
1,location,"‘‘La Mancha’’ Coastal Research Center (CICOLMA), Veracruz, Mexico"
1,latitude,19.590278
1,longitude,-96.380278
2,name,jan14
2,type,time
2,location,"‘‘La Mancha’’ Coastal Research Center (CICOLMA), Veracruz, Mexico"
2,latitude,19.590278
2,longitude,-96.380278
3,name,mar14
3,type,time
3,location,"‘‘La Mancha’’ Coastal Research Center (CICOLMA), Veracruz, Mexico"
3,latitude,19.590278
3,longitude,-96.380278
4,name,may14
4,type,time
4,location,"‘‘La Mancha’’ Coastal Research Center (CICOLMA), Veracruz, Mexico"
4,latitude,19.590278
4,longitude,-96.380278
5,name,jun14
5,type,time
5,location,"‘‘La Mancha’’ Coastal Research Center (CICOLMA), Veracruz, Mexico"
5,latitude,19.590278
5,longitude,-96.380278
6,name,jul14
6,type,time
6,location,"‘‘La Mancha’’ Coastal Research Center (CICOLMA), Veracruz, Mexico"
6,latitude,19.590278
6,longitude,-96.380278
7,name,aug14
7,type,time
7,location,"‘‘La Mancha’’ Coastal Research Center (CICOLMA), Veracruz, Mexico"
7,latitude,19.590278
7,longitude,-96.380278
8,name,sep14
8,type,time
8,location,"‘‘La Mancha’’ Coastal Research Center (CICOLMA), Veracruz, Mexico"
8,latitude,19.590278
8,longitude,-96.380278
9,name,oct14
9,type,time
9,location,"‘‘La Mancha’’ Coastal Research Center (CICOLMA), Veracruz, Mexico"
9,latitude,19.590278
9,longitude,-96.380278
10,name,nov14
10,type,time
10,location,"‘‘La Mancha’’ Coastal Research Center (CICOLMA), Veracruz, Mexico"
10,latitude,19.590278
10,longitude,-96.380278
