doi,author,year,paper_url,data_url
NA,Diego P. Vazquez,01/05/2002,https://trace.tennessee.edu,http://www.ecologia.ib.usp.br/iwdb/html/vazquez_2002.html
10.1046/j.1461-0248.2003.00534.x,Diego P. Vazquez,30/10/2003,https://onlinelibrary.wiley.com/doi/10.1046/j.1461-0248.2003.00534.x,http://www.ecologia.ib.usp.br/iwdb/html/vazquez_2002.html
10.1086/339991,Diego P. Vazquez,01/07/2002,https://www.researchgate.net/publication/23174889_Ecological_Specialization_and_Susceptibility_to_Disturbance_Conjectures_and_Refutations,http://www.ecologia.ib.usp.br/iwdb/html/vazquez_2002.html
