layer,attribute,value
1,type,environment
1,location,"National Park Berchtesgaden, Germany"
1,plot,1
1,altitude_m,950
1,latitude,47.552571
1,longitude,12.925284
1,observation_time,07:32:00
2,type,environment
2,location,"National Park Berchtesgaden, Germany"
2,plot,2
2,altitude_m,1170
2,latitude,47.552571
2,longitude,12.925284
2,observation_time,06:47:00
3,type,environment
3,location,"National Park Berchtesgaden, Germany"
3,plot,1
3,altitude_m,950
3,latitude,47.552571
3,longitude,12.925284
3,observation_time,05:08:00
4,type,environment
4,location,"National Park Berchtesgaden, Germany"
4,plot,2
4,altitude_m,1170
4,latitude,47.552571
4,longitude,12.925284
4,observation_time,06:19:00
5,type,environment
5,location,"National Park Berchtesgaden, Germany"
5,plot,3
5,altitude_m,1340
5,latitude,47.552571
5,longitude,12.925284
5,observation_time,05:17:00
6,type,environment
6,location,"National Park Berchtesgaden, Germany"
6,plot,1
6,altitude_m,950
6,latitude,47.552571
6,longitude,12.925284
6,observation_time,07:20:00
7,type,environment
7,location,"National Park Berchtesgaden, Germany"
7,plot,2
7,altitude_m,1170
7,latitude,47.552571
7,longitude,12.925284
7,observation_time,06:38:00
8,type,environment
8,location,"National Park Berchtesgaden, Germany"
8,plot,4
8,altitude_m,1700
8,latitude,47.552571
8,longitude,12.925284
8,observation_time,05:59:00
9,type,environment
9,location,"National Park Berchtesgaden, Germany"
9,plot,5
9,altitude_m,1800
9,latitude,47.552571
9,longitude,12.925284
9,observation_time,06:02:00
10,type,environment
10,location,"National Park Berchtesgaden, Germany"
10,plot,3
10,altitude_m,1340
10,latitude,47.552571
10,longitude,12.925284
10,observation_time,05:43:00
11,type,environment
11,location,"National Park Berchtesgaden, Germany"
11,plot,5
11,altitude_m,1800
11,latitude,47.552571
11,longitude,12.925284
11,observation_time,07:06:00
12,type,environment
12,location,"National Park Berchtesgaden, Germany"
12,plot,6
12,altitude_m,2020
12,latitude,47.552571
12,longitude,12.925284
12,observation_time,05:05:00
13,type,environment
13,location,"National Park Berchtesgaden, Germany"
13,plot,3
13,altitude_m,1340
13,latitude,47.552571
13,longitude,12.925284
13,observation_time,06:00:00
14,type,environment
14,location,"National Park Berchtesgaden, Germany"
14,plot,4
14,altitude_m,1700
14,latitude,47.552571
14,longitude,12.925284
14,observation_time,06:03:00
16,type,environment
16,location,"National Park Berchtesgaden, Germany"
16,plot,1
16,altitude_m,950
16,latitude,47.552571
16,longitude,12.925284
16,observation_time,06:33:00
17,type,environment
17,location,"National Park Berchtesgaden, Germany"
17,plot,2
17,altitude_m,1170
17,latitude,47.552571
17,longitude,12.925284
17,observation_time,06:11:00
18,type,environment
18,location,"National Park Berchtesgaden, Germany"
18,plot,4
18,altitude_m,1700
18,latitude,47.552571
18,longitude,12.925284
18,observation_time,06:05:00
19,type,environment
19,location,"National Park Berchtesgaden, Germany"
19,plot,5
19,altitude_m,1800
19,latitude,47.552571
19,longitude,12.925284
19,observation_time,05:53:00
20,type,environment
20,location,"National Park Berchtesgaden, Germany"
20,plot,2
20,altitude_m,1170
20,latitude,47.552571
20,longitude,12.925284
20,observation_time,06:01:00
21,type,environment
21,location,"National Park Berchtesgaden, Germany"
21,plot,3
21,altitude_m,1340
21,latitude,47.552571
21,longitude,12.925284
21,observation_time,07:07:00
22,type,environment
22,location,"National Park Berchtesgaden, Germany"
22,plot,1
22,altitude_m,950
22,latitude,47.552571
22,longitude,12.925284
22,observation_time,06:26:00
23,type,environment
23,location,"National Park Berchtesgaden, Germany"
23,plot,6
23,altitude_m,2020
23,latitude,47.552571
23,longitude,12.925284
23,observation_time,06:48:00
24,type,environment
24,location,"National Park Berchtesgaden, Germany"
24,plot,5
24,altitude_m,1800
24,latitude,47.552571
24,longitude,12.925284
24,observation_time,07:19:00
25,type,environment
25,location,"National Park Berchtesgaden, Germany"
25,plot,4
25,altitude_m,1700
25,latitude,47.552571
25,longitude,12.925284
25,observation_time,06:05:00
26,type,environment
26,location,"National Park Berchtesgaden, Germany"
26,plot,3
26,altitude_m,1340
26,latitude,47.552571
26,longitude,12.925284
26,observation_time,06:28:00
27,type,environment
27,location,"National Park Berchtesgaden, Germany"
27,plot,2
27,altitude_m,1170
27,latitude,47.552571
27,longitude,12.925284
27,observation_time,06:23:00
28,type,environment
28,location,"National Park Berchtesgaden, Germany"
28,plot,1
28,altitude_m,950
28,latitude,47.552571
28,longitude,12.925284
28,observation_time,06:20:00
29,type,environment
29,location,"National Park Berchtesgaden, Germany"
29,plot,6
29,altitude_m,2020
29,latitude,47.552571
29,longitude,12.925284
29,observation_time,06:02:00
30,type,environment
30,location,"National Park Berchtesgaden, Germany"
30,plot,5
30,altitude_m,1800
30,latitude,47.552571
30,longitude,12.925284
30,observation_time,06:46:00
31,type,environment
31,location,"National Park Berchtesgaden, Germany"
31,plot,4
31,altitude_m,1700
31,latitude,47.552571
31,longitude,12.925284
31,observation_time,06:53:00
32,type,environment
32,location,"National Park Berchtesgaden, Germany"
32,plot,3
32,altitude_m,1340
32,latitude,47.552571
32,longitude,12.925284
32,observation_time,06:10:00
33,type,environment
33,location,"National Park Berchtesgaden, Germany"
33,plot,2
33,altitude_m,1170
33,latitude,47.552571
33,longitude,12.925284
33,observation_time,06:02:00
34,type,environment
34,location,"National Park Berchtesgaden, Germany"
34,plot,1
34,altitude_m,950
34,latitude,47.552571
34,longitude,12.925284
34,observation_time,06:18:00
35,type,environment
35,location,"National Park Berchtesgaden, Germany"
35,plot,6
35,altitude_m,2020
35,latitude,47.552571
35,longitude,12.925284
35,observation_time,04:45:00
36,type,environment
36,location,"National Park Berchtesgaden, Germany"
36,plot,5
36,altitude_m,1800
36,latitude,47.552571
36,longitude,12.925284
36,observation_time,05:51:00
37,type,environment
37,location,"National Park Berchtesgaden, Germany"
37,plot,6
37,altitude_m,2020
37,latitude,47.552571
37,longitude,12.925284
37,observation_time,06:39:00
38,type,environment
38,location,"National Park Berchtesgaden, Germany"
