doi,author,year,paper_url,data_url
10.2307/3544990,Simon R. Leather,1997-01-01,https://www.jstor.org/stable/3544990,http://www.web-of-life.es/map.php
10.2307/3544990,Simon R. Leather,1997-01-01,https://www.jstor.org/stable/3544990,http://www.ecologia.ib.usp.br/iwdb/html/leather_1991.htm
