layer,attribute,value
1,date,01/01/2006
1,latitude,37.703663852
1,location,Central Valley of California
1,longitude,-120.988162714
1,name,MullerB
1,type,time
2,date,01/01/2006
2,latitude,37.703663852
2,location,Central Valley of California
2,longitude,-120.988162714
2,name,USS
2,type,time
3,date,01/01/2006
3,latitude,37.703663852
3,location,Central Valley of California
3,longitude,-120.988162714
3,name,H16
3,type,time
4,date,01/01/2006
4,latitude,37.703663852
4,location,Central Valley of California
4,longitude,-120.988162714
4,name,Butler
4,type,time
5,date,01/01/2006
5,latitude,37.703663852
5,location,Central Valley of California
5,longitude,-120.988162714
5,name,DQU
5,type,time
6,date,01/01/2006
6,latitude,37.703663852
6,location,Central Valley of California
6,longitude,-120.988162714
6,name,Barger
6,type,time
7,date,01/01/2006
7,latitude,37.703663852
7,location,Central Valley of California
7,longitude,-120.988162714
7,name,Turkovich
7,type,time
8,date,01/01/2007
8,latitude,37.703663852
8,location,Central Valley of California
8,longitude,-120.988162714
8,name,BC2
8,type,time
9,date,01/01/2007
9,latitude,37.703663852
9,location,Central Valley of California
9,longitude,-120.988162714
9,name,DQU
9,type,time
10,date,01/01/2007
10,latitude,37.703663852
10,location,Central Valley of California
10,longitude,-120.988162714
10,name,MullerB
10,type,time
11,date,01/01/2007
11,latitude,37.703663852
11,location,Central Valley of California
11,longitude,-120.988162714
11,name,USS
11,type,time
12,date,01/01/2007
12,latitude,37.703663852
12,location,Central Valley of California
12,longitude,-120.988162714
12,name,MC1
12,type,time
13,date,01/01/2007
13,latitude,37.703663852
13,location,Central Valley of California
13,longitude,-120.988162714
13,name,Spiva
13,type,time
14,date,01/01/2007
14,latitude,37.703663852
14,location,Central Valley of California
14,longitude,-120.988162714
14,name,Sperandio
14,type,time
15,date,01/01/2007
15,latitude,37.703663852
15,location,Central Valley of California
15,longitude,-120.988162714
15,name,H16
15,type,time
16,date,01/01/2007
16,latitude,37.703663852
16,location,Central Valley of California
16,longitude,-120.988162714
16,name,Chamberlain
16,type,time
17,date,01/01/2007
17,latitude,37.703663852
17,location,Central Valley of California
17,longitude,-120.988162714
17,name,Gregory
17,type,time
18,date,01/01/2007
18,latitude,37.703663852
18,location,Central Valley of California
18,longitude,-120.988162714
18,name,Barger
18,type,time
19,date,01/01/2007
19,latitude,37.703663852
19,location,Central Valley of California
19,longitude,-120.988162714
19,name,Turkovich
19,type,time
20,date,01/01/2007
20,latitude,37.703663852
20,location,Central Valley of California
20,longitude,-120.988162714
20,name,Butler
20,type,time
21,date,01/01/2007
21,latitude,37.703663852
21,location,Central Valley of California
21,longitude,-120.988162714
21,name,Hrdy
21,type,time
22,date,01/01/2008
22,latitude,37.703663852
22,location,Central Valley of California
22,longitude,-120.988162714
22,name,MullerB
22,type,time
23,date,01/01/2008
23,latitude,37.703663852
23,location,Central Valley of California
23,longitude,-120.988162714
23,name,Hrdy
23,type,time
24,date,01/01/2008
24,latitude,37.703663852
24,location,Central Valley of California
24,longitude,-120.988162714
24,name,Spiva
24,type,time
25,date,01/01/2008
25,latitude,37.703663852
25,location,Central Valley of California
25,longitude,-120.988162714
25,name,Sperandio
25,type,time
26,date,01/01/2008
26,latitude,37.703663852
26,location,Central Valley of California
26,longitude,-120.988162714
26,name,Turkovich
26,type,time
27,date,01/01/2008
27,latitude,37.703663852
27,location,Central Valley of California
27,longitude,-120.988162714
27,name,USS
27,type,time
28,date,01/01/2008
28,latitude,37.703663852
28,location,Central Valley of California
28,longitude,-120.988162714
28,name,BC2
28,type,time
29,date,01/01/2008
29,latitude,37.703663852
29,location,Central Valley of California
29,longitude,-120.988162714
29,name,DQU
29,type,time
30,date,01/01/2008
30,latitude,37.703663852
30,location,Central Valley of California
30,longitude,-120.988162714
30,name,MC1
30,type,time
31,date,01/01/2008
31,latitude,37.703663852
31,location,Central Valley of California
31,longitude,-120.988162714
31,name,Fong
31,type,time
32,date,01/01/2008
32,latitude,37.703663852
32,location,Central Valley of California
32,longitude,-120.988162714
32,name,Barger
32,type,time
33,date,01/01/2008
33,latitude,37.703663852
33,location,Central Valley of California
33,longitude,-120.988162714
33,name,H16
33,type,time
34,date,01/01/2008
34,latitude,37.703663852
34,location,Central Valley of California
34,longitude,-120.988162714
34,name,Butler
34,type,time
35,date,01/01/2008
35,latitude,37.703663852
35,location,Central Valley of California
35,longitude,-120.988162714
35,name,Gregory
35,type,time
36,date,01/01/2008
36,latitude,37.703663852
36,location,Central Valley of California
36,longitude,-120.988162714
36,name,Chamberlain
36,type,time
37,date,01/01/2009
37,latitude,37.703663852
37,location,Central Valley of California
37,longitude,-120.988162714
37,name,Joe
37,type,time
38,date,01/01/2009
38,latitude,37.703663852
38,location,Central Valley of California
38,longitude,-120.988162714
38,name,Sperandio
38,type,time
39,date,01/01/2009
39,latitude,37.703663852
39,location,Central Valley of California
39,longitude,-120.988162714
39,name,H16
39,type,time
40,date,01/01/2009
40,latitude,37.703663852
40,location,Central Valley of California
40,longitude,-120.988162714
40,name,MC1
40,type,time
41,date,01/01/2009
41,latitude,37.703663852
41,location,Central Valley of California
41,longitude,-120.988162714
41,name,DQU
41,type,time
42,date,01/01/2009
42,latitude,37.703663852
42,location,Central Valley of California
42,longitude,-120.988162714
42,name,Hrdy
