layer_id,node_id,attribute,value
4,13,node_name,Stizostedion vitreum
4,13,sample_size,0
10,13,node_name,Stizostedion vitreum
10,13,sample_size,0
5,13,node_name,Stizostedion vitreum
5,13,sample_size,0
11,13,node_name,Stizostedion vitreum
11,13,sample_size,0
6,13,node_name,Stizostedion vitreum
6,13,sample_size,41
7,13,node_name,Stizostedion vitreum
7,13,sample_size,0
12,13,node_name,Stizostedion vitreum
12,13,sample_size,0
1,14,node_name,Carpiodes cyprinus
1,14,sample_size,0
8,14,node_name,Carpiodes cyprinus
8,14,sample_size,0
2,14,node_name,Carpiodes cyprinus
2,14,sample_size,0
9,14,node_name,Carpiodes cyprinus
9,14,sample_size,0
3,14,node_name,Carpiodes cyprinus
3,14,sample_size,5
4,14,node_name,Carpiodes cyprinus
4,14,sample_size,0
10,14,node_name,Carpiodes cyprinus
10,14,sample_size,0
5,14,node_name,Carpiodes cyprinus
5,14,sample_size,0
11,14,node_name,Carpiodes cyprinus
11,14,sample_size,0
6,14,node_name,Carpiodes cyprinus
6,14,sample_size,0
7,14,node_name,Carpiodes cyprinus
7,14,sample_size,0
12,14,node_name,Carpiodes cyprinus
12,14,sample_size,0
1,15,node_name,Moxostoma anisurum
1,15,sample_size,0
8,15,node_name,Moxostoma anisurum
8,15,sample_size,0
2,15,node_name,Moxostoma anisurum
2,15,sample_size,0
9,15,node_name,Moxostoma anisurum
9,15,sample_size,0
3,15,node_name,Moxostoma anisurum
3,15,sample_size,6
4,15,node_name,Moxostoma anisurum
4,15,sample_size,0
10,15,node_name,Moxostoma anisurum
10,15,sample_size,0
5,15,node_name,Moxostoma anisurum
5,15,sample_size,0
11,15,node_name,Moxostoma anisurum
11,15,sample_size,0
6,15,node_name,Moxostoma anisurum
6,15,sample_size,0
7,15,node_name,Moxostoma anisurum
7,15,sample_size,0
12,15,node_name,Moxostoma anisurum
12,15,sample_size,0
1,16,node_name,Chrosomus neogaeus
1,16,sample_size,0
8,16,node_name,Chrosomus neogaeus
8,16,sample_size,0
2,16,node_name,Chrosomus neogaeus
2,16,sample_size,0
9,16,node_name,Chrosomus neogaeus
9,16,sample_size,0
3,16,node_name,Chrosomus neogaeus
3,16,sample_size,11
4,16,node_name,Chrosomus neogaeus
4,16,sample_size,0
10,16,node_name,Chrosomus neogaeus
10,16,sample_size,0
5,16,node_name,Chrosomus neogaeus
5,16,sample_size,0
11,16,node_name,Chrosomus neogaeus
11,16,sample_size,0
6,16,node_name,Chrosomus neogaeus
6,16,sample_size,0
7,16,node_name,Chrosomus neogaeus
7,16,sample_size,0
12,16,node_name,Chrosomus neogaeus
12,16,sample_size,0
1,17,node_name,Couesius plumbeus
1,17,sample_size,0
8,17,node_name,Couesius plumbeus
8,17,sample_size,0
2,17,node_name,Couesius plumbeus
2,17,sample_size,0
9,17,node_name,Couesius plumbeus
9,17,sample_size,0
3,17,node_name,Couesius plumbeus
3,17,sample_size,5
4,17,node_name,Couesius plumbeus
4,17,sample_size,0
10,17,node_name,Couesius plumbeus
10,17,sample_size,0
5,17,node_name,Couesius plumbeus
5,17,sample_size,0
11,17,node_name,Couesius plumbeus
11,17,sample_size,0
6,17,node_name,Couesius plumbeus
6,17,sample_size,0
7,17,node_name,Couesius plumbeus
7,17,sample_size,0
12,17,node_name,Couesius plumbeus
12,17,sample_size,0
1,18,node_name,Notropis anogenus
1,18,sample_size,0
8,18,node_name,Notropis anogenus
8,18,sample_size,0
2,18,node_name,Notropis anogenus
2,18,sample_size,0
9,18,node_name,Notropis anogenus
9,18,sample_size,0
3,18,node_name,Notropis anogenus
3,18,sample_size,8
4,18,node_name,Notropis anogenus
4,18,sample_size,0
10,18,node_name,Notropis anogenus
10,18,sample_size,0
5,18,node_name,Notropis anogenus
5,18,sample_size,0
11,18,node_name,Notropis anogenus
11,18,sample_size,0
6,18,node_name,Notropis anogenus
6,18,sample_size,0
7,18,node_name,Notropis anogenus
7,18,sample_size,0
12,18,node_name,Notropis anogenus
12,18,sample_size,0
1,19,node_name,Notropis atherinoides
1,19,sample_size,0
8,19,node_name,Notropis atherinoides
8,19,sample_size,0
2,19,node_name,Notropis atherinoides
2,19,sample_size,0
9,19,node_name,Notropis atherinoides
9,19,sample_size,0
3,19,node_name,Notropis atherinoides
3,19,sample_size,9
4,19,node_name,Notropis atherinoides
4,19,sample_size,0
10,19,node_name,Notropis atherinoides
10,19,sample_size,0
5,19,node_name,Notropis atherinoides
5,19,sample_size,0
11,19,node_name,Notropis atherinoides
11,19,sample_size,0
6,19,node_name,Notropis atherinoides
6,19,sample_size,5
7,19,node_name,Notropis atherinoides
7,19,sample_size,0
12,19,node_name,Notropis atherinoides
12,19,sample_size,0
1,20,node_name,Notropis hudsonius
1,20,sample_size,0
8,20,node_name,Notropis hudsonius
8,20,sample_size,0
2,20,node_name,Notropis hudsonius
2,20,sample_size,0
9,20,node_name,Notropis hudsonius
9,20,sample_size,0
3,20,node_name,Notropis hudsonius
3,20,sample_size,25
4,20,node_name,Notropis hudsonius
4,20,sample_size,0
10,20,node_name,Notropis hudsonius
10,20,sample_size,0
5,20,node_name,Notropis hudsonius
5,20,sample_size,0
11,20,node_name,Notropis hudsonius
11,20,sample_size,0
6,20,node_name,Notropis hudsonius
6,20,sample_size,100
7,20,node_name,Notropis hudsonius
7,20,sample_size,0
12,20,node_name,Notropis hudsonius
12,20,sample_size,0
1,21,node_name,Pimephales notatus
1,21,sample_size,0
8,21,node_name,Pimephales notatus
8,21,sample_size,0
2,21,node_name,Pimephales notatus
2,21,sample_size,0
9,21,node_name,Pimephales notatus
9,21,sample_size,0
3,21,node_name,Pimephales notatus
3,21,sample_size,20
4,21,node_name,Pimephales notatus
4,21,sample_size,0
10,21,node_name,Pimephales notatus
10,21,sample_size,0
5,21,node_name,Pimephales notatus
5,21,sample_size,0
11,21,node_name,Pimephales notatus
11,21,sample_size,0
6,21,node_name,Pimephales notatus
6,21,sample_size,17
7,21,node_name,Pimephales notatus
7,21,sample_size,0
12,21,node_name,Pimephales notatus
12,21,sample_size,0
1,22,node_name,Pimephales promelas
1,22,sample_size,0
8,22,node_name,Pimephales promelas
8,22,sample_size,0
2,22,node_name,Pimephales promelas
2,22,sample_size,0
9,22,node_name,Pimephales promelas
9,22,sample_size,0
3,22,node_name,Pimephales promelas
3,22,sample_size,6
4,22,node_name,Pimephales promelas
4,22,sample_size,0
10,22,node_name,Pimephales promelas
10,22,sample_size,0
5,22,node_name,Pimephales promelas
5,22,sample_size,0
11,22,node_name,Pimephales promelas
11,22,sample_size,0
6,22,node_name,Pimephales promelas
6,22,sample_size,0
7,22,node_name,Pimephales promelas
7,22,sample_size,0
12,22,node_name,Pimephales promelas
12,22,sample_size,0
1,23,node_name,Semotilus margarita
1,23,sample_size,0
8,23,node_name,Semotilus margarita
8,23,sample_size,0
2,23,node_name,Semotilus margarita
2,23,sample_size,0
9,23,node_name,Semotilus margarita
9,23,sample_size,0
3,23,node_name,Semotilus margarita
3,23,sample_size,5
4,23,node_name,Semotilus margarita
4,23,sample_size,0
10,23,node_name,Semotilus margarita
10,23,sample_size,0
5,23,node_name,Semotilus margarita
5,23,sample_size,0
11,23,node_name,Semotilus margarita
11,23,sample_size,0
6,23,node_name,Semotilus margarita
6,23,sample_size,0
7,23,node_name,Semotilus margarita
