doi,author,year
10.1139/f83-194,"Arai, H. P.",1983-10-04
10.1139/f76-294,J. R. Arthur,1976-11-01
10.2307/2422308,"Bangham, R. V.",1955-01-01
10.1111/j.1095-8649.1978.tb03427.x,"Chinniah V.C, William Threlfall",1978-08-01
10.1139/f72-046,Alex O. Dechtiar,1972-03-01
10.1111/j.1095-8649.1981.tb03811.x,"T. S. Leong, J. C. Holmest",1981-06-01
