interaction_id,attribute,value
33,layer_from,1
33,node_to,Neoechinorhynchus_tumidus
33,layer_to,1
33,weight,7.0999999999999996
33,type,host-parasite
33,category,prevalence
34,node_from,Esox_lucius
34,layer_from,1
34,node_to,Piscicola_milneri
34,layer_to,1
34,weight,7.0999999999999996
34,type,host-parasite
34,category,prevalence
35,node_from,Prosopium_cylindraceum
35,layer_from,1
35,node_to,Discocotyle_sagittata
35,layer_to,1
35,weight,56.100000000000001
35,type,host-parasite
35,category,prevalence
36,node_from,Prosopium_cylindraceum
36,layer_from,1
36,node_to,Tetraonchus_variabilis
36,layer_to,1
36,weight,54.399999999999999
36,type,host-parasite
36,category,prevalence
37,node_from,Prosopium_cylindraceum
37,layer_from,1
37,node_to,Crepidostomum_farionis
37,layer_to,1
37,weight,86
37,type,host-parasite
37,category,prevalence
38,node_from,Prosopium_cylindraceum
38,layer_from,1
38,node_to,Diplostomum_spathaceum_(L)
38,layer_to,1
38,weight,94.700000000000003
38,type,host-parasite
38,category,prevalence
39,node_from,Prosopium_cylindraceum
39,layer_from,1
39,node_to,Tetracotyle_sp._(L)
39,layer_to,1
39,weight,73.700000000000003
39,type,host-parasite
39,category,prevalence
40,node_from,Prosopium_cylindraceum
40,layer_from,1
40,node_to,Cyathocephalus_truncatus
40,layer_to,1
40,weight,1.8
40,type,host-parasite
40,category,prevalence
41,node_from,Prosopium_cylindraceum
41,layer_from,1
41,node_to,Diphyllobothrium_sp._(L)
41,layer_to,1
41,weight,5.2999999999999998
41,type,host-parasite
41,category,prevalence
42,node_from,Prosopium_cylindraceum
42,layer_from,1
42,node_to,Eubothrium_salvelini
42,layer_to,1
42,weight,3.5
42,type,host-parasite
42,category,prevalence
43,node_from,Prosopium_cylindraceum
43,layer_from,1
43,node_to,Proteocephalus_tumidocollus
43,layer_to,1
43,weight,26.300000000000001
43,type,host-parasite
43,category,prevalence
44,node_from,Prosopium_cylindraceum
44,layer_from,1
44,node_to,Triaenophorus_crassus_(L)
44,layer_to,1
44,weight,5.2999999999999998
44,type,host-parasite
44,category,prevalence
45,node_from,Prosopium_cylindraceum
45,layer_from,1
45,node_to,Capillaria_salvelini
45,layer_to,1
45,weight,1.8
45,type,host-parasite
45,category,prevalence
46,node_from,Prosopium_cylindraceum
46,layer_from,1
46,node_to,Cystidicola_farionis
46,layer_to,1
46,weight,42.100000000000001
46,type,host-parasite
46,category,prevalence
47,node_from,Prosopium_cylindraceum
47,layer_from,1
47,node_to,Neoechinorhynchus_tumidus
47,layer_to,1
47,weight,86
47,type,host-parasite
47,category,prevalence
48,node_from,Prosopium_cylindraceum
48,layer_from,1
48,node_to,Piscicola_milneri
48,layer_to,1
48,weight,3.5
48,type,host-parasite
48,category,prevalence
49,node_from,Salvelinus_namaycush
49,layer_from,1
49,node_to,Discocotyle_sagittata
49,layer_to,1
49,weight,1.6000000000000001
49,type,host-parasite
49,category,prevalence
50,node_from,Salvelinus_namaycush
50,layer_from,1
50,node_to,Crepidostomum_farionis
50,layer_to,1
50,weight,90.200000000000003
50,type,host-parasite
50,category,prevalence
51,node_from,Salvelinus_namaycush
51,layer_from,1
51,node_to,Diplostomum_spathaceum_(L)
51,layer_to,1
51,weight,100
51,type,host-parasite
51,category,prevalence
52,node_from,Salvelinus_namaycush
52,layer_from,1
52,node_to,Tetracotyle_sp._(L)
52,layer_to,1
52,weight,80.299999999999997
52,type,host-parasite
52,category,prevalence
53,node_from,Salvelinus_namaycush
53,layer_from,1
53,node_to,Cyathocephalus_truncatus
53,layer_to,1
53,weight,21.300000000000001
53,type,host-parasite
53,category,prevalence
54,node_from,Salvelinus_namaycush
54,layer_from,1
54,node_to,Diphyllobothrium_sp._(L)
54,layer_to,1
54,weight,44.299999999999997
54,type,host-parasite
54,category,prevalence
55,node_from,Salvelinus_namaycush
55,layer_from,1
55,node_to,Eubothrium_salvelini
55,layer_to,1
55,weight,95.099999999999994
55,type,host-parasite
55,category,prevalence
56,node_from,Salvelinus_namaycush
56,layer_from,1
56,node_to,Proteocephalus_tumidocollus
56,layer_to,1
56,weight,100
56,type,host-parasite
56,category,prevalence
57,node_from,Salvelinus_namaycush
57,layer_from,1
57,node_to,Triaenophorus_crassus_(L)
57,layer_to,1
57,weight,22.899999999999999
57,type,host-parasite
57,category,prevalence
58,node_from,Salvelinus_namaycush
58,layer_from,1
58,node_to,Capillaria_salvelini
58,layer_to,1
58,weight,21.300000000000001
58,type,host-parasite
58,category,prevalence
59,node_from,Salvelinus_namaycush
59,layer_from,1
59,node_to,Cystidicola_farionis
59,layer_to,1
59,weight,82
59,type,host-parasite
59,category,prevalence
60,node_from,Salvelinus_namaycush
60,layer_from,1
60,node_to,Neoechinorhynchus_tumidus
60,layer_to,1
60,weight,50.799999999999997
60,type,host-parasite
60,category,prevalence
61,node_from,Salvelinus_namaycush
61,layer_from,1
61,node_to,Piscicola_milneri
61,layer_to,1
61,weight,6.5999999999999996
61,type,host-parasite
61,category,prevalence
62,node_from,Salvelinus_namaycush
62,layer_from,1
62,node_to,Salmincola_edwardsii
62,layer_to,1
62,weight,44.299999999999997
62,type,host-parasite
62,category,prevalence
63,node_from,Thymallus_arcticus
63,layer_from,1
63,node_to,Discocotyle_sagittata
63,layer_to,1
63,weight,20.5
63,type,host-parasite
63,category,prevalence
64,node_from,Thymallus_arcticus
64,layer_from,1
64,node_to,Tetraonchus_borealis
64,layer_to,1
64,weight,88.599999999999994
64,type,host-parasite
64,category,prevalence
65,node_from,Thymallus_arcticus
65,layer_from,1
65,node_to,Allocreadium_isosporum
65,layer_to,1
65,weight,95.5
65,type,host-parasite
65,category,prevalence
66,node_from,Thymallus_arcticus
66,layer_from,1
66,node_to,Crepidostomum_farionis
66,layer_to,1
66,weight,95.5
66,type,host-parasite
66,category,prevalence
67,node_from,Thymallus_arcticus
67,layer_from,1
67,node_to,Diplostomum_spathaceum_(L)
67,layer_to,1
67,weight,86.400000000000006
67,type,host-parasite
67,category,prevalence
