layer,attribute,value
1,type,space
1,type,interaction
1,interaction_type,prevalence
1,location,aishihik_lake
1,latitude,61.22825
1,longitude,-136.96261
2,type,space
2,type,interaction
2,interaction_type,prevalence
2,location,cold_lake
2,latitude,54.46418
2,longitude,-110.182259
3,type,space
3,type,interaction
3,interaction_type,prevalence
3,location,lake_of_the_woods
3,latitude,48.16144
3,longitude,-83.65579
4,type,space
4,type,interaction
4,interaction_type,prevalence
4,location,mcgregor_river
4,latitude,45.455
4,longitude,-63.24631
5,type,space
5,type,interaction
5,interaction_type,prevalence
5,location,parsnip_river
5,latitude,50.02318
5,longitude,-125.24954
6,type,space
6,type,interaction
6,interaction_type,prevalence
6,location,sbay_lake_huron
6,latitude,44.826883
6,longitude,-82.428222
7,type,space
7,type,interaction
7,interaction_type,prevalence
7,location,smallwood_reservoir
7,latitude,54.17022
7,longitude,-64.3797157
8,type,space
8,type,interaction
8,interaction_type,intensity
8,location,aishihik_lake
8,latitude,61.22825
8,longitude,-136.96261
9,type,space
9,type,interaction
9,interaction_type,intensity
9,location,cold_lake
9,latitude,54.46418
9,longitude,-110.182259
10,type,space
10,type,interaction
10,interaction_type,intensity
10,location,mcgregor_river
10,latitude,45.455
10,longitude,-63.24631
11,type,space
11,type,interaction
11,interaction_type,intensity
11,location,parsnip_river
11,latitude,50.02318
11,longitude,-125.24954
12,type,space
12,type,interaction
12,interaction_type,intensity
12,location,smallwood_reservoir
12,latitude,54.17022
12,longitude,-64.3797157
