layer,attribute,value
215,type,space
216,name,6762
216,type,space
217,name,6770
217,type,space
218,name,7054
218,type,space
219,name,7352
219,type,space
220,name,5658
220,type,space
221,name,6069
221,type,space
222,name,6163
222,type,space
223,name,6959
223,type,space
224,name,5250
224,type,space
225,name,5941
225,type,space
226,name,5292
226,type,space
227,name,6857
227,type,space
228,name,6864
228,type,space
229,name,7072
229,type,space
230,name,7350
230,type,space
231,name,6675
231,type,space
232,name,5964
232,type,space
233,name,6470
233,type,space
234,name,5863
234,type,space
235,name,5660
235,type,space
236,name,6165
236,type,space
237,name,6358
237,type,space
238,name,6046
238,type,space
239,name,5560
239,type,space
240,name,5647
240,type,space
241,name,5659
241,type,space
242,name,5758
242,type,space
243,name,6269
243,type,space
244,name,6644
244,type,space
245,name,6646
245,type,space
246,name,6968
246,type,space
247,name,7053
247,type,space
248,name,5668
248,type,space
249,name,6071
249,type,space
250,name,6464
250,type,space
251,name,6655
251,type,space
252,name,6658
252,type,space
253,name,6747
253,type,space
254,name,7552
254,type,space
255,name,6537
255,type,space
256,name,6656
256,type,space
257,name,6151
257,type,space
258,name,5664
258,type,space
259,name,6870
259,type,space
260,name,6558
260,type,space
261,name,6972
261,type,space
262,name,6973
262,type,space
263,name,7255
263,type,space
264,name,6268
264,type,space
265,name,6368
265,type,space
266,name,5652
266,type,space
267,name,5456
267,type,space
268,name,5553
268,type,space
269,name,5755
269,type,space
270,name,5842
270,type,space
271,name,5861
271,type,space
272,name,6767
272,type,space
273,name,6861
273,type,space
274,name,7170
274,type,space
275,name,71790
275,type,space
276,name,5957
276,type,space
277,name,5158
277,type,space
278,name,5966
278,type,space
279,name,5350
279,type,space
280,name,5949
280,type,space
281,name,6651
281,type,space
282,name,6848
282,type,space
283,name,6874
283,type,space
284,name,5866
284,type,space
285,name,6742
285,type,space
286,name,5253
286,type,space
287,name,7149
287,type,space
288,name,5053
288,type,space
289,name,6150
289,type,space
290,name,6255
290,type,space
291,name,6453
291,type,space
292,name,6551
292,type,space
293,name,6868
293,type,space
294,name,7060
294,type,space
295,name,5258
295,type,space
296,name,6457
296,type,space
297,name,7265
297,type,space
298,name,5463
298,type,space
299,name,5448
299,type,space
300,name,5856
300,type,space
301,name,6060
301,type,space
302,name,6754
302,type,space
303,name,5671
303,type,space
