layer,attribute,value
23,month,5
23,first_date,1988-05-25
23,last_date,1988-05-27
23,num_traps,900
23,nights,2
24,type,space
24,type,time
24,population_no,24
24,latitude,48.5847694
24,longitude,21.7877889
24,biotop,N
24,region,East Slovakian Lowland
24,locality,Hran
24,files,HranHost
24,year,1988
24,month,5
24,first_date,1988-05-31
24,last_date,1988-06-03
24,num_traps,1000
24,nights,3
25,type,space
25,type,time
25,population_no,25
25,latitude,48.5847694
25,longitude,21.7877889
25,biotop,N
25,region,East Slovakian Lowland
25,locality,Hran
25,files,HranHost
25,year,1988
25,month,6
25,first_date,1988-06-22
25,last_date,1988-06-24
25,num_traps,1100
25,nights,2
26,type,space
26,type,time
26,population_no,26
26,latitude,48.5847694
26,longitude,21.7877889
26,biotop,N
26,region,East Slovakian Lowland
26,locality,Hran
26,files,HranHost
26,year,1988
26,month,7
26,first_date,1988-07-05
26,last_date,1988-07-08
26,num_traps,1100
26,nights,3
27,type,space
27,type,time
27,population_no,27
27,latitude,48.5847694
27,longitude,21.7877889
27,biotop,N
27,region,East Slovakian Lowland
27,locality,Hran
27,files,HranHost
27,year,1988
27,month,8
27,first_date,1988-08-24
27,last_date,1988-08-25
27,num_traps,500
27,nights,1
28,type,space
28,type,time
28,population_no,28
28,latitude,48.5847694
28,longitude,21.7877889
28,biotop,N
28,region,East Slovakian Lowland
28,locality,Hran
28,files,HranHost
28,year,1988
28,month,9
28,first_date,1988-08-31
28,last_date,1988-09-01
28,num_traps,900
28,nights,1
29,type,space
29,type,time
29,population_no,29
29,latitude,48.5847694
29,longitude,21.7877889
29,biotop,N
29,region,East Slovakian Lowland
29,locality,Hran
29,files,HranHost
29,year,1988
29,month,10
29,first_date,1988-10-20
29,last_date,1988-10-21
29,num_traps,900
29,nights,1
30,type,space
30,type,time
30,population_no,30
30,latitude,48.5847694
30,longitude,21.7877889
30,biotop,N
30,region,East Slovakian Lowland
30,locality,Hran
30,files,HranHost
30,year,1989
30,month,4
30,first_date,1989-04-26
30,last_date,1989-04-28
30,num_traps,1300
30,nights,2
31,type,space
31,type,time
31,population_no,31
31,latitude,48.5847694
31,longitude,21.7877889
31,biotop,N
31,region,East Slovakian Lowland
31,locality,Hran
31,files,HranHost
31,year,1989
31,month,5
31,first_date,1989-05-17
31,last_date,1989-05-18
31,num_traps,900
31,nights,1
32,type,space
32,type,time
32,population_no,32
32,latitude,48.5847694
32,longitude,21.7877889
32,biotop,N
32,region,East Slovakian Lowland
32,locality,Hran
32,files,HranHost
32,year,1989
32,month,6
32,first_date,1989-06-20
32,last_date,1989-06-21
32,num_traps,1300
32,nights,1
33,type,space
33,type,time
33,population_no,33
33,latitude,48.5847694
33,longitude,21.7877889
33,biotop,N
33,region,East Slovakian Lowland
33,locality,Hran
33,files,HranHost
33,year,1989
33,month,8
33,first_date,1989-08-01
33,last_date,1989-08-02
33,num_traps,650
33,nights,1
34,type,space
34,type,time
34,population_no,34
34,latitude,48.5847694
34,longitude,21.7877889
34,biotop,N
34,region,East Slovakian Lowland
34,locality,Hran
34,files,HranHost
34,year,1989
34,month,9
34,first_date,1989-08-31
34,last_date,1989-09-01
34,num_traps,1400
34,nights,1
35,type,space
35,type,time
35,population_no,35
35,latitude,48.5847694
35,longitude,21.7877889
35,biotop,N
35,region,East Slovakian Lowland
35,locality,Hran
35,files,HranHost
35,year,1989
35,month,10
35,first_date,1989-10-05
35,last_date,1989-10-06
35,num_traps,600
35,nights,1
36,type,space
36,type,time
36,population_no,36
36,latitude,48.5847694
36,longitude,21.7877889
36,biotop,N
36,region,East Slovakian Lowland
36,locality,Hran
36,files,HranHost
36,year,1989
36,month,11
36,first_date,1989-11-14
36,last_date,1989-11-15
36,num_traps,700
36,nights,1
37,type,space
37,type,time
37,population_no,37
37,latitude,48.5847694
37,longitude,21.7877889
37,biotop,N
37,region,East Slovakian Lowland
37,locality,Hran
37,files,HranHost
37,year,1989
37,month,12
37,first_date,1989-12-20
37,last_date,1989-12-21
37,num_traps,750
37,nights,1
38,type,space
38,type,time
38,population_no,38
38,latitude,48.5847694
38,longitude,21.7877889
38,biotop,N
38,region,East Slovakian Lowland
38,locality,Hran
38,files,HranHost
38,year,1990
38,month,4
38,first_date,1990-04-04
38,last_date,1990-04-05
38,num_traps,900
38,nights,1
39,type,space
39,type,time
39,population_no,39
39,latitude,48.5847694
39,longitude,21.7877889
39,biotop,N
39,region,East Slovakian Lowland
39,locality,Hran
39,files,HranHost
39,year,1990
39,month,5
39,first_date,1990-05-03
39,last_date,1990-05-04
39,num_traps,800
39,nights,1
40,type,space
40,type,time
40,population_no,40
40,latitude,48.5847694
40,longitude,21.7877889
40,biotop,N
40,region,East Slovakian Lowland
40,locality,Hran
40,files,HranHost
40,year,1990
40,month,5
40,first_date,1990-05-22
40,last_date,1990-05-23
40,num_traps,500
40,nights,1
41,type,space
41,type,time
41,population_no,41
41,latitude,48.5847694
41,longitude,21.7877889
41,biotop,N
41,region,East Slovakian Lowland
41,locality,Hran
41,files,HranHost
41,year,1990
41,month,6
41,first_date,1990-06-14
41,last_date,1990-06-15
41,num_traps,900
41,nights,1
42,type,space
42,type,time
42,population_no,42
42,latitude,48.5847694
42,longitude,21.7877889
42,biotop,N
42,region,East Slovakian Lowland
42,locality,Hran
42,files,HranHost
42,year,1990
42,month,7
42,first_date,1990-07-03
42,last_date,1990-07-04
42,num_traps,800
42,nights,1
43,type,space
43,type,time
43,population_no,43
43,latitude,48.5847694
43,longitude,21.7877889
43,biotop,N
43,region,East Slovakian Lowland
43,locality,Hran
43,files,HranHost
43,year,1990
43,month,8
43,first_date,1990-08-21
43,last_date,1990-08-22
43,num_traps,900
43,nights,1
44,type,space
44,type,time
44,population_no,44
44,latitude,48.5847694
44,longitude,21.7877889
44,biotop,N
44,region,East Slovakian Lowland
44,locality,Hran
44,files,HranHost
44,year,1990
44,month,9
44,first_date,1990-09-25
44,last_date,1990-09-26
44,num_traps,700
44,nights,1
45,type,space
45,type,time
45,population_no,45
45,latitude,48.5847694
45,longitude,21.7877889
45,biotop,N
45,region,East Slovakian Lowland
45,locality,Hran
45,files,HranHost
45,year,1990
45,month,12
45,first_date,1990-12-05
45,last_date,1990-12-05
45,num_traps,350
45,nights,1
46,type,space
46,type,time
46,population_no,46
46,latitude,48.5847694
46,longitude,21.7877889
46,biotop,N
46,region,East Slovakian Lowland
46,locality,Hran
46,files,HranHost
46,year,1991
46,month,1
46,first_date,1991-01-23
46,last_date,1991-01-23
46,num_traps,300
46,nights,1
47,type,space
47,type,time
47,population_no,47
47,latitude,48.5847694
47,longitude,21.7877889
47,biotop,N
47,region,East Slovakian Lowland
47,locality,Hran
47,files,HranHost
47,year,1991
47,month,4
47,first_date,1991-04-25
47,last_date,1991-04-25
47,num_traps,150
47,nights,1
48,type,space
48,type,time
48,population_no,48
48,latitude,48.7519222
48,longitude,21.092225
48,biotop,F
48,region,Volovske Vrchy mountains
48,locality,Hylov
48,files,Hylov
48,year,1984
48,month,11
48,first_date,1984-11-14
48,last_date,1984-11-16
48,num_traps,800
48,nights,2
49,type,space
49,type,time
49,population_no,49
49,latitude,48.7519222
49,longitude,21.092225
49,biotop,F
49,region,Volovske Vrchy mountains
49,locality,Hylov
49,files,Hylov
49,year,1984
49,month,12
49,first_date,1984-12-05
49,last_date,1984-12-07
49,num_traps,850
49,nights,2
50,type,space
50,type,time
50,population_no,50
50,latitude,48.7519222
50,longitude,21.092225
50,biotop,F
50,region,Volovske Vrchy mountains
50,locality,Hylov
50,files,Hylov
50,year,1985
50,month,1
50,first_date,1985-01-30
50,last_date,1985-02-01
50,num_traps,900
50,nights,2
51,type,space
51,type,time
51,population_no,51
51,latitude,48.7519222
51,longitude,21.092225
51,biotop,F
51,region,Volovske Vrchy mountains
51,locality,Hylov
51,files,Hylov
51,year,1985
51,month,3
51,first_date,1985-03-12
51,last_date,1985-03-14
51,num_traps,950
51,nights,2
52,type,space
52,type,time
52,population_no,52
52,latitude,48.7519222
52,longitude,21.092225
52,biotop,F
52,region,Volovske Vrchy mountains
52,locality,Hylov
52,files,Hylov
52,year,1985
52,month,4
52,first_date,1985-04-25
52,last_date,1985-04-26
52,num_traps,500
52,nights,1
53,type,space
53,type,time
53,population_no,53
53,latitude,48.7519222
53,longitude,21.092225
53,biotop,F
53,region,Volovske Vrchy mountains
53,locality,Hylov
53,files,Hylov
53,year,1985
53,month,7
53,first_date,1985-07-02
53,last_date,1985-07-04
53,num_traps,800
53,nights,2
54,type,space
54,type,time
54,population_no,54
54,latitude,48.7519222
54,longitude,21.092225
54,biotop,F
54,region,Volovske Vrchy mountains
54,locality,Hylov
54,files,Hylov
54,year,1985
54,month,8
54,first_date,1985-08-20
54,last_date,1985-08-21
54,num_traps,400
54,nights,1
55,type,space
55,type,time
55,population_no,55
55,latitude,48.4399806
55,longitude,19.1784861
55,biotop,F
55,region,Javorie mountains and Krupinska Planina plain
55,locality,Pliesovce
55,files,Javorie
55,year,1983
55,month,3
55,first_date,1983-03-25
55,last_date,1983-03-30
55,num_traps,1300
55,nights,5
56,type,space
56,type,time
56,population_no,56
56,latitude,48.4399806
56,longitude,19.1784861
56,biotop,F
56,region,Javorie mountains and Krupinska Planina plain
56,locality,Pliesovce
56,files,Javorie
56,year,1983
56,month,4
56,first_date,1983-04-23
56,last_date,1983-04-26
56,num_traps,950
56,nights,3
57,type,space
57,type,time
57,population_no,57
57,latitude,48.4399806
57,longitude,19.1784861
57,biotop,F
57,region,Javorie mountains and Krupinska Planina plain
57,locality,Pliesovce
57,files,Javorie
57,year,1983
57,month,5
57,first_date,1983-05-12
57,last_date,1983-05-16
57,num_traps,1200
57,nights,4
58,type,space
58,type,time
58,population_no,58
58,latitude,48.4399806
58,longitude,19.1784861
58,biotop,F
58,region,Javorie mountains and Krupinska Planina plain
58,locality,Pliesovce
58,files,Javorie
58,year,1983
58,month,6
58,first_date,1983-06-28
58,last_date,1983-06-30
58,num_traps,800
58,nights,2
59,type,space
59,type,time
59,population_no,59
59,latitude,48.4399806
59,longitude,19.1784861
59,biotop,F
59,region,Javorie mountains and Krupinska Planina plain
59,locality,Pliesovce
59,files,Javorie
59,year,1983
59,month,9
59,first_date,1983-09-03
59,last_date,1983-09-08
59,num_traps,1100
59,nights,5
60,type,space
60,type,time
60,population_no,60
60,latitude,48.4399806
60,longitude,19.1784861
