layer,attribute,value
1,name,Cedro
1,type,space
1,altitude,1121
1,latitude,-19.232078
1,longitude,-43.576394
1,num_of_interactions,135
1,pollinators,69
1,plants,27
2,name,Elefante
2,type,space
2,altitude,1181
2,latitude,-19.293453
2,longitude,-43.555533
2,num_of_interactions,159
2,pollinators,76
2,plants,33
3,name,Tinkerbell
3,type,space
3,altitude,1188
3,latitude,-19.220725
3,longitude,-43.582964
3,num_of_interactions,91
3,pollinators,59
3,plants,22
4,name,Soizig
4,type,space
4,altitude,1095
4,latitude,-19.272803
4,longitude,-43.579836
4,num_of_interactions,115
4,pollinators,68
4,plants,23
5,name,Paulino
5,type,space
5,altitude,1073
5,latitude,-19.258089
5,longitude,-43.583869
5,num_of_interactions,175
5,pollinators,85
5,plants,26
6,name,Gigante
6,type,space
6,altitude,1269
6,latitude,-19.247308
6,longitude,-43.510197
6,num_of_interactions,159
6,pollinators,71
6,plants,31
7,name,Midway
7,type,space
7,altitude,1205
7,latitude,-19.270297
7,longitude,-43.550353
7,num_of_interactions,122
7,pollinators,53
7,plants,25
