node_name,node_type
Apodemus_agrarius,host
Apodemus_peninsulae,host
Arvicola_terrestris,host
Asioscalops_altaica,host
Cricetus_cricetus,host
Eutamias_sibiricus,host
Microtus_agrestis,host
Microtus_arvalis,host
Microtus_gregalis,host
Microtus_minutus,host
Microtus_oeconomus,host
Mus_musculus,host
Myodes_glareolus,host
Myodes_rufocanus,host
Myodes_rutilus,host
Neomys_fodiens,host
Sicista_betulina,host
Sorex_araneus,host
Sorex_caecutiens,host
Sorex_isodon,host
Sorex_minutus,host
Sorex_tundrensis,host
Androlaelaps_glasgowi,parasite
Amerosejus_corbicula,parasite
Euryparasitus_emarginatus,parasite
Euryparasitus_medius,parasite
Eulaelaps_stabularis,parasite
Haemogamasus_ambulans,parasite
Haemogamasus_mandschuricus,parasite
Haemogamasus_nidi,parasite
Haemogamasus_nidiformes,parasite
Hirstionyssus_apodemi,parasite
Hirstionyssus_criceti,parasite
Hirstionyssus_isabellinus,parasite
Hirstionyssus_soricis,parasite
Holoparasitus_gontscharovae,parasite
Hyperlaelaps_arvalis,parasite
Iphidosoma_fimetarium,parasite
Laelaspis_astronomicus,parasite
Laelaps_clethrionomydis,parasite
Laelaps_hilaris,parasite
Laelaps_micromydis,parasite
Laelaps_muris,parasite
Laelaps_pavlovskyi,parasite
Macrocheles_matrius,parasite
Macrocheles_decoloratus,parasite
Myonyssus_ingricus,parasite
Macrocheles_glaber,parasite
Macrocheles_nataliae,parasite
Macrocheles_rotundiscutus,parasite
Parasitus_berlesei,parasite
Parasitus_coleoptratorum,parasite
Parasitus_consanguineus,parasite
Parasitus_convexus,parasite
Pergamasus_crassipes,parasite
Pergamasus_septentrionalis,parasite
Parasitus_fimetorum,parasite
Parasitus_lunaris,parasite
Parasitus_magnus,parasite
Poecilochirus_necrophori,parasite
Parasitus_oudemansi,parasite
Parasitus_remberti,parasite
Poecilochirus_subterraneus,parasite
Proctolaelaps_pygmaeus,parasite
Amphipsylla_sibirica,parasite
Ceratophyllus_indages,parasite
Ctenophthalmus_assimilis,parasite
Megabothris_turbidus,parasite
Megabothris_rectangulatus,parasite
Amalaraeus_penicilliger,parasite
Doratopsylla_birulai,parasite
Frontopsylla_elata,parasite
Histrichopsylla_talpae,parasite
Leptopsylla_segnis,parasite
Neopsylla_acanthina,parasite
Neopsylla_mana,parasite
Palaeopsylla_soricis,parasite
Rhadinopsylla_integella,parasite
