layer_from,node_from,layer_to,node_to,weight,c_value,z_value,role,compartment_group
Island1,Plant10,Island1,Bird4,12,0.5,-0.7487,peripheral,mix
Island1,Plant10,Island1,Bird2,29,0.72,-0.11,peripheral,small
Island1,Plant3,Island1,Bird28,3,0,-0.2562,peripheral,mix
Island1,Plant3,Island1,Bird5,15,0.7407,1.5509,peripheral,mix
Island1,Plant3,Island1,Bird6,15,0.7188,1.5509,peripheral,mix
Island1,Plant15,Island1,Bird8,50,0,-0.2562,peripheral,mix
Island1,Plant15,Island1,Bird22,12,0,-0.2562,peripheral,mix
Island1,Plant15,Island1,Bird14,4,0,-0.2562,peripheral,mix
Island1,Plant15,Island1,Bird11,23,0,-0.2562,peripheral,mix
Island1,Plant15,Island1,Bird7,13,0,-0.2562,peripheral,mix
Island1,Plant10,Island1,Bird3,16,0.7778,-0.11,connector,small
Island2,Plant14,Island2,Bird10,1,0.625,-0.5195,peripheral,small
Island2,Plant14,Island2,Bird1,1,0.625,3.8426,module hub,mix
Island2,Plant1,Island2,Bird4,113,0.5625,1.3371,peripheral,large
Island2,Plant2,Island2,Bird1,161,0.75,1.5774,hub,small
Island2,Plant2,Island2,Bird17,8,0.56,0.0988,peripheral,large
Island2,Plant11,Island2,Bird3,6,0.75,0.9243,connector,small
Island2,Plant9,Island2,Bird8,1,0.48,0.9243,peripheral,small
Island2,Plant9,Island2,Bird4,6,0.5,0.7179,peripheral,large
Island2,Plant9,Island2,Bird2,1,0.5625,1.3371,peripheral,large
Island2,Plant1,Island2,Bird15,3,0.6667,-0.5437,peripheral,small
Island2,Plant4,Island2,Bird4,4,0.6122,0.7179,peripheral,large
Island2,Plant1,Island2,Bird2,26,0.6942,1.5509,peripheral,mix
Island2,Plant6,Island2,Bird1,49,0.58,1.9562,module hub,large
Island2,Plant6,Island2,Bird14,4,0,0.0988,peripheral,large
Island2,Plant6,Island2,Bird7,9,0.449,1.3371,peripheral,large
Island6,Plant2,Island6,Bird1,137,0.75,1.5774,hub,small
Island5,Plant2,Island5,Bird24,8,0,0.0988,peripheral,large
Island5,Plant2,Island5,Bird15,1,0.6914,-0.11,peripheral,small
Island5,Plant2,Island5,Bird14,24,0.32,0.7179,peripheral,large
Island5,Plant2,Island5,Bird1,139,0.75,1.5774,hub,small
Island5,Plant2,Island5,Bird3,10,0.7361,1.5774,module hub,small
Island5,Plant2,Island5,Bird10,2,0.7361,-0.11,peripheral,small
Island5,Plant2,Island5,Bird2,116,0.7219,1.5774,module hub,small
Island5,Plant2,Island5,Bird7,39,0.66,1.3371,peripheral,large
Island5,Plant2,Island5,Bird19,2,0.7188,0.9243,peripheral,small
Island5,Plant4,Island5,Bird18,8,0.75,2.3923,hub,small
Island5,Plant4,Island5,Bird4,1,0.6122,0.7179,peripheral,large
Island5,Plant8,Island5,Bird7,6,0.32,0.7179,peripheral,large
Island5,Plant8,Island5,Bird8,65,0.56,0.0988,peripheral,large
Island5,Plant8,Island5,Bird14,11,0,-0.5203,peripheral,large
Island5,Plant7,Island5,Bird8,2,0,-0.5203,peripheral,large
Island5,Plant7,Island5,Bird4,2,0.32,0.7179,peripheral,large
Island5,Plant7,Island5,Bird7,3,0.4444,0.4011,peripheral,mix
Island5,Plant5,Island5,Bird4,1,0.5625,1.3371,peripheral,large
Island5,Plant1,Island5,Bird4,72,0.5625,1.3371,peripheral,large
Island5,Plant1,Island5,Bird8,60,0.6,1.9562,module hub,large
Island5,Plant1,Island5,Bird7,8,0.58,1.9562,module hub,large
Island5,Plant1,Island5,Bird26,4,0,-0.5203,peripheral,large
Island5,Plant1,Island5,Bird2,9,0.6942,1.5509,peripheral,mix
Island5,Plant1,Island5,Bird18,4,0.7551,1.5774,hub,small
Island5,Plant1,Island5,Bird24,2,0,-0.5203,peripheral,large
Island5,Plant1,Island5,Bird6,36,0.75,1.5774,hub,small
Island5,Plant6,Island5,Bird10,18,0.58,1.9562,module hub,large
Island5,Plant6,Island5,Bird1,371,0.58,1.9562,module hub,large
Island5,Plant6,Island5,Bird3,9,0.4938,1.9562,module hub,large
Island5,Plant6,Island5,Bird8,17,0,-1.1395,peripheral,large
Island5,Plant6,Island5,Bird4,14,0.32,0.7179,peripheral,large
Island5,Plant6,Island5,Bird7,11,0.449,1.3371,peripheral,large
Island5,Plant6,Island5,Bird21,24,0,0.0988,peripheral,large
Island5,Plant6,Island5,Bird17,2,0.32,0.7179,peripheral,large
Island5,Plant6,Island5,Bird24,1,0,0.0988,peripheral,large
Island5,Plant2,Island5,Bird16,15,0.32,0.7179,peripheral,large
Island5,Plant2,Island5,Bird8,1,0,-1.1395,peripheral,large
Island5,Plant2,Island5,Bird18,3,0.72,0.7337,peripheral,small
Island5,Plant2,Island5,Bird22,1,0.56,0.0988,peripheral,large
Island5,Plant2,Island5,Bird4,20,0.5625,1.3371,peripheral,large
Island5,Plant2,Island5,Bird26,2,0.625,0.9243,peripheral,small
Island5,Plant16,Island5,Bird9,1,0.5,-0.7487,peripheral,mix
Island5,Plant16,Island5,Bird4,6,0.5,-0.5437,peripheral,small
Island3,Plant4,Island3,Bird1,19,0.7778,2.3923,hub,small
Island3,Plant4,Island3,Bird5,84,0.7891,3.8604,hub,small
Island3,Plant4,Island3,Bird18,28,0.75,2.3923,hub,small
Island3,Plant4,Island3,Bird6,37,0.7654,1.8181,hub,small
Island3,Plant4,Island3,Bird4,15,0.6122,0.7179,peripheral,large
Island3,Plant4,Island3,Bird19,1,0.6667,-0.7487,peripheral,mix
Island3,Plant18,Island3,Bird4,2,0,-0.7487,peripheral,mix
Island3,Plant18,Island3,Bird2,4,0,-0.7487,peripheral,mix
Island3,Plant18,Island3,Bird7,17,0.5,-0.7487,peripheral,mix
Island3,Plant5,Island3,Bird6,8,0.72,0.9243,peripheral,small
Island3,Plant5,Island3,Bird4,6,0.5625,1.3371,peripheral,large
Island3,Plant5,Island3,Bird2,26,0.7456,1.5509,peripheral,mix
Island3,Plant5,Island3,Bird7,20,0.6914,0.9243,peripheral,small
Island3,Plant1,Island3,Bird6,24,0.75,1.5774,hub,small
Island3,Plant1,Island3,Bird4,63,0.5625,1.3371,peripheral,large
Island3,Plant1,Island3,Bird2,6,0.6942,1.5509,peripheral,mix
Island3,Plant16,Island3,Bird2,1,0.72,0.9243,peripheral,small
Island3,Plant1,Island3,Bird15,1,0.6667,-0.5437,peripheral,small
Island3,Plant5,Island3,Bird3,4,0.7654,1.8181,hub,small
Island3,Plant3,Island3,Bird4,33,0.5714,0.7179,peripheral,large
Island3,Plant3,Island3,Bird9,11,0.74,-0.5195,peripheral,small
Island3,Plant3,Island3,Bird7,2,0.7188,1.5509,peripheral,mix
Island3,Plant4,Island3,Bird8,1,0.6667,2.3923,module hub,small
Island3,Plant4,Island3,Bird9,15,0.7755,1.8181,hub,small
Island3,Plant4,Island3,Bird2,2,0.375,0.0988,peripheral,large
Island3,Plant1,Island3,Bird8,7,0.6,1.9562,module hub,large
Island3,Plant3,Island3,Bird1,17,0.7,1.5509,peripheral,mix
Island3,Plant3,Island3,Bird8,9,0.5,0.7179,peripheral,large
Island3,Plant3,Island3,Bird3,21,0.7361,-0.11,peripheral,small
Island4,Plant6,Island4,Bird4,4,0.32,0.7179,peripheral,large
Island4,Plant6,Island4,Bird1,78,0.58,1.9562,module hub,large
Island4,Plant7,Island4,Bird8,3,0,-0.5203,peripheral,large
Island4,Plant7,Island4,Bird4,8,0.32,0.7179,peripheral,large
Island4,Plant7,Island4,Bird2,8,0.7188,-0.11,peripheral,small
Island4,Plant1,Island4,Bird7,22,0.58,1.9562,module hub,large
Island4,Plant1,Island4,Bird2,35,0.6942,1.5509,peripheral,mix
Island4,Plant9,Island4,Bird4,7,0.5,0.7179,peripheral,large
Island4,Plant1,Island4,Bird4,76,0.5625,1.3371,peripheral,large
Island4,Plant1,Island4,Bird8,22,0.6,1.9562,module hub,large
Island4,Plant1,Island4,Bird13,1,0.7934,0.7337,connector,small
Island4,Plant6,Island4,Bird15,2,0.4444,-0.5203,peripheral,large
Island4,Plant2,Island4,Bird7,36,0.66,1.3371,peripheral,large
Island7,Plant4,Island7,Bird4,6,0.6122,0.7179,peripheral,large
Island7,Plant4,Island7,Bird5,167,0.7891,3.8604,hub,small
Island7,Plant1,Island7,Bird2,158,0.6942,1.5509,peripheral,mix
Island7,Plant9,Island7,Bird4,75,0.5,0.7179,peripheral,large
Island7,Plant1,Island7,Bird3,4,0.66,1.5774,module hub,small
Island7,Plant1,Island7,Bird4,15,0.5625,1.3371,peripheral,large
Island7,Plant2,Island7,Bird14,5,0.32,0.7179,peripheral,large
Island7,Plant5,Island7,Bird3,20,0.7654,1.8181,hub,small
Island7,Plant5,Island7,Bird2,270,0.7456,1.5509,peripheral,mix
Island7,Plant5,Island7,Bird7,43,0.6914,0.9243,peripheral,small
Island7,Plant5,Island7,Bird19,1,0.4444,0.4011,peripheral,mix
Island7,Plant11,Island7,Bird3,11,0.75,0.9243,connector,small
Island7,Plant11,Island7,Bird15,2,0.72,-0.5437,peripheral,small
Island7,Plant11,Island7,Bird4,12,0.4444,-0.5203,peripheral,large
Island7,Plant4,Island7,Bird1,18,0.7778,2.3923,hub,small
Island7,Plant4,Island7,Bird18,18,0.75,2.3923,hub,small
Island7,Plant4,Island7,Bird15,1,0.6667,-0.7487,peripheral,mix
Island7,Plant4,Island7,Bird8,4,0.6667,2.3923,module hub,small
Island7,Plant4,Island7,Bird14,13,0,-1.1395,peripheral,large
Island7,Plant4,Island7,Bird2,4,0.375,0.0988,peripheral,large
Island7,Plant1,Island7,Bird7,97,0.58,1.9562,module hub,large
Island7,Plant2,Island7,Bird16,70,0.32,0.7179,peripheral,large
Island7,Plant2,Island7,Bird10,152,0.7361,-0.11,peripheral,small
Island7,Plant2,Island7,Bird15,7,0.6914,-0.11,peripheral,small
Island7,Plant2,Island7,Bird2,24,0.7219,1.5774,module hub,small
Island7,Plant3,Island7,Bird1,4,0.7,1.5509,peripheral,mix
Island7,Plant3,Island7,Bird3,3,0.7361,-0.11,peripheral,small
Island7,Plant3,Island7,Bird15,1,0.625,3.8426,module hub,mix
Island7,Plant3,Island7,Bird2,108,0.5625,1.3371,peripheral,large
Island17,Plant11,Island17,Bird3,1,0.75,0.9243,connector,small
Island17,Plant11,Island17,Bird6,1,0.6667,0.0988,peripheral,large
Island17,Plant11,Island17,Bird13,1,0.6667,-0.9537,peripheral,small
Island17,Plant1,Island17,Bird13,10,0.7934,0.7337,connector,small
Island17,Plant1,Island17,Bird18,1,0.7551,1.5774,hub,small
Island11,Plant5,Island11,Bird5,2,0.6531,1.5509,peripheral,mix
Island11,Plant10,Island11,Bird1,251,0.72,-0.11,peripheral,small
Island11,Plant10,Island11,Bird3,63,0.7778,-0.11,connector,small
Island11,Plant10,Island11,Bird8,1,0,-0.7487,peripheral,mix
Island11,Plant10,Island11,Bird5,23,0.75,-0.5437,connector,small
Island11,Plant7,Island11,Bird3,5,0.5714,1.5774,module hub,small
Island20,Plant16,Island20,Bird5,3,0.4444,0.9243,peripheral,small
Island20,Plant16,Island20,Bird3,1,0.6667,-0.5437,peripheral,small
Island20,Plant7,Island20,Bird2,23,0.7188,-0.11,peripheral,small
Island20,Plant9,Island20,Bird5,12,0.7222,0.9243,peripheral,small
Island20,Plant9,Island20,Bird6,1,0.6777,0.7337,peripheral,small
Island20,Plant9,Island20,Bird8,4,0.48,0.9243,peripheral,small
Island19,Plant10,Island19,Bird5,18,0.75,-0.5437,connector,small
Island19,Plant10,Island19,Bird9,3,0.5,-0.5437,peripheral,small
Island19,Plant10,Island19,Bird21,2,0.75,-0.5437,connector,small
Island19,Plant1,Island19,Bird18,4,0.7551,1.5774,hub,small
Island19,Plant9,Island19,Bird6,7,0.6777,0.7337,peripheral,small
Island19,Plant9,Island19,Bird9,1,0.5,-0.5437,peripheral,small
Island19,Plant9,Island19,Bird7,28,0.375,0.0988,peripheral,large
Island19,Plant9,Island19,Bird5,3,0.7222,0.9243,peripheral,small
Island19,Plant9,Island19,Bird2,2,0.5625,1.3371,peripheral,large
Island19,Plant16,Island19,Bird5,2,0.4444,0.9243,peripheral,small
Island12,Plant5,Island12,Bird9,2,0.7273,-0.5195,peripheral,small
Island12,Plant5,Island12,Bird3,6,0.7654,1.8181,hub,small
Island12,Plant5,Island12,Bird6,2,0.72,0.9243,peripheral,small
Island12,Plant5,Island12,Bird28,1,0.75,-0.5195,connector,small
Island12,Plant5,Island12,Bird25,2,0.5,-0.5195,peripheral,small
Island12,Plant31,Island12,Bird3,25,0,-0.5195,peripheral,small
Island10,Plant3,Island10,Bird1,8,0.7,1.5509,peripheral,mix
Island10,Plant3,Island10,Bird5,8,0.7407,1.5509,peripheral,mix
Island10,Plant5,Island10,Bird5,1,0.6531,1.5509,peripheral,mix
Island10,Plant5,Island10,Bird19,1,0.4444,0.4011,peripheral,mix
Island10,Plant5,Island10,Bird13,2,0.56,1.5509,peripheral,mix
Island10,Plant7,Island10,Bird2,11,0.7188,-0.11,peripheral,small
Island10,Plant18,Island10,Bird5,1,0.6667,-0.5195,peripheral,small
Island10,Plant1,Island10,Bird6,1,0.75,1.5774,hub,small
Island10,Plant2,Island10,Bird26,1,0.625,0.9243,peripheral,small
Island10,Plant2,Island10,Bird1,74,0.75,1.5774,hub,small
Island10,Plant2,Island10,Bird7,7,0.66,1.3371,peripheral,large
Island18,Plant21,Island18,Bird3,31,0,-0.5437,peripheral,small
Island18,Plant10,Island18,Bird5,15,0.75,-0.5437,connector,small
Island18,Plant10,Island18,Bird9,1,0.5,-0.5437,peripheral,small
Island18,Plant10,Island18,Bird11,110,0,-0.5437,peripheral,small
Island18,Plant10,Island18,Bird3,483,0.7778,-0.11,connector,small
Island18,Plant4,Island18,Bird5,1,0.7891,3.8604,hub,small
Island18,Plant4,Island18,Bird8,4,0.6667,2.3923,module hub,small
Island18,Plant4,Island18,Bird11,2,0,-0.5437,peripheral,small
Island18,Plant4,Island18,Bird3,127,0.78,1.8181,hub,small
Island18,Plant3,Island18,Bird3,3,0.7361,-0.11,peripheral,small
Island14,Plant6,Island14,Bird1,119,0.58,1.9562,module hub,large
Island14,Plant6,Island14,Bird10,3,0.58,1.9562,module hub,large
Island14,Plant6,Island14,Bird3,79,0.4938,1.9562,module hub,large
Island9,Plant3,Island9,Bird1,8,0.7,1.5509,peripheral,mix
Island9,Plant3,Island9,Bird5,10,0.7407,1.5509,peripheral,mix
Island9,Plant3,Island9,Bird6,1,0.7188,1.5509,peripheral,mix
Island9,Plant3,Island9,Bird9,5,0.74,-0.5195,peripheral,small
Island9,Plant3,Island9,Bird3,31,0.7361,-0.11,peripheral,small
Island9,Plant9,Island9,Bird6,1,0.6777,0.7337,peripheral,small
Island9,Plant9,Island9,Bird5,1,0.7222,0.9243,peripheral,small
Island9,Plant9,Island9,Bird3,15,0.48,0.7337,peripheral,small
Island9,Plant10,Island9,Bird1,1,0.72,-0.11,peripheral,small
Island9,Plant10,Island9,Bird3,22,0.7778,-0.11,connector,small
Island9,Plant1,Island9,Bird3,4,0.66,1.5774,module hub,small
Island9,Plant1,Island9,Bird18,2,0.7551,1.5774,hub,small
Island9,Plant1,Island9,Bird6,21,0.75,1.5774,hub,small
Island9,Plant1,Island9,Bird9,15,0.7438,0.7337,peripheral,small
Island15,Plant11,Island15,Bird3,3,0.75,0.9243,connector,small
Island15,Plant3,Island15,Bird7,1,0.7188,1.5509,peripheral,mix
Island15,Plant3,Island15,Bird15,5,0.625,3.8426,module hub,mix
Island15,Plant3,Island15,Bird10,1,0.6111,1.5509,peripheral,mix
Island15,Plant4,Island15,Bird4,1,0.6122,0.7179,peripheral,large
Island15,Plant4,Island15,Bird5,17,0.7891,3.8604,hub,small
Island15,Plant4,Island15,Bird8,5,0.6667,2.3923,module hub,small
Island13,Plant11,Island13,Bird3,1,0.75,0.9243,connector,small
Island13,Plant1,Island13,Bird18,1,0.7551,1.5774,hub,small
Island13,Plant4,Island13,Bird3,7,0.78,1.8181,hub,small
Island13,Plant11,Island13,Bird15,1,0.72,-0.5437,peripheral,small
Island16,Plant7,Island16,Bird5,7,0.74,1.5774,module hub,small
Island16,Plant7,Island16,Bird28,1,0,-0.9537,peripheral,small
Island16,Plant9,Island16,Bird6,4,0.6777,0.7337,peripheral,small
Island16,Plant11,Island16,Bird15,1,0.72,-0.5437,peripheral,small
Island16,Plant1,Island16,Bird28,1,0.72,-0.11,peripheral,small
Island16,Plant1,Island16,Bird18,1,0.7551,1.5774,hub,small
Island22,Plant1,Island22,Bird18,2,0.7551,1.5774,hub,small
Island22,Plant1,Island22,Bird6,1,0.75,1.5774,hub,small
Island22,Plant1,Island22,Bird5,3,0.7755,1.5774,hub,small
Island22,Plant1,Island22,Bird13,1,0.7934,0.7337,connector,small
Island22,Plant12,Island22,Bird3,38,0.72,3.8426,module hub,mix
Island22,Plant14,Island22,Bird15,1,0,-0.5195,peripheral,small
Island22,Plant14,Island22,Bird5,3,0,-0.5195,peripheral,small
Island22,Plant14,Island22,Bird9,1,0,-0.5195,peripheral,small
Island22,Plant14,Island22,Bird19,4,0.6667,-0.5195,peripheral,small
Island22,Plant14,Island22,Bird10,6,0.625,-0.5195,peripheral,small
Island22,Plant14,Island22,Bird3,20,0.625,3.8426,module hub,mix
Island21,Plant4,Island21,Bird3,8,0.78,1.8181,hub,small
Island21,Plant4,Island21,Bird5,32,0.7891,3.8604,hub,small
Island21,Plant11,Island21,Bird3,4,0.75,0.9243,connector,small
Island21,Plant7,Island21,Bird5,3,0.74,1.5774,module hub,small
Island21,Plant1,Island21,Bird18,17,0.7551,1.5774,hub,small
Island21,Plant1,Island21,Bird6,7,0.75,1.5774,hub,small
Island21,Plant1,Island21,Bird5,26,0.7755,1.5774,hub,small
Island21,Plant12,Island21,Bird15,2,0,-0.9537,peripheral,small
Island21,Plant12,Island21,Bird10,6,0.72,-0.11,peripheral,small
Island21,Plant12,Island21,Bird3,43,0.72,3.8426,module hub,mix
Island21,Plant12,Island21,Bird19,2,0.4444,-0.11,peripheral,small
Island8,Plant11,Island8,Bird3,7,0.75,0.9243,connector,small
Island8,Plant11,Island8,Bird8,2,0,-0.5437,peripheral,small
Island8,Plant11,Island8,Bird6,5,0.6667,0.0988,peripheral,large
Island8,Plant9,Island8,Bird6,60,0.6777,0.7337,peripheral,small
Island8,Plant9,Island8,Bird5,6,0.7222,0.9243,peripheral,small
Island8,Plant9,Island8,Bird8,12,0.48,0.9243,peripheral,small
Island8,Plant9,Island8,Bird4,16,0.5,0.7179,peripheral,large
Island8,Plant11,Island8,Bird2,1,0.625,-0.5437,peripheral,small
Island8,Plant11,Island8,Bird9,1,0,-0.5437,peripheral,small
Island8,Plant5,Island8,Bird4,2,0.5625,1.3371,peripheral,large
Island8,Plant14,Island8,Bird1,60,0.625,3.8426,module hub,mix
Island8,Plant14,Island8,Bird2,92,0.5,-0.5437,peripheral,small
Island8,Plant14,Island8,Bird7,1,0.5,-0.5437,peripheral,small
Island8,Plant4,Island8,Bird5,41,0.7891,3.8604,hub,small
Island8,Plant4,Island8,Bird1,21,0.7778,2.3923,hub,small
Island8,Plant4,Island8,Bird22,4,0,-0.5437,peripheral,small
Island8,Plant4,Island8,Bird9,3,0.7755,1.8181,hub,small
Island8,Plant4,Island8,Bird18,4,0.75,2.3923,hub,small
Island8,Plant4,Island8,Bird8,10,0.6667,2.3923,module hub,small
Island8,Plant4,Island8,Bird6,12,0.7654,1.8181,hub,small
Island2,Plant4,Island2,Bird19,3,0.6667,-0.7487,peripheral,mix
Island2,Plant4,Island2,Bird17,4,0.625,-0.7487,peripheral,mix
Island15,Plant4,Island15,Bird6,19,0.7654,1.8181,hub,small
Island15,Plant4,Island15,Bird15,11,0.6667,-0.7487,peripheral,mix
Island15,Plant4,Island15,Bird19,7,0.6667,-0.7487,peripheral,mix
Island13,Plant4,Island13,Bird1,1,0.7778,2.3923,hub,small
Island13,Plant4,Island13,Bird18,9,0.75,2.3923,hub,small
Island13,Plant4,Island13,Bird5,106,0.7891,3.8604,hub,small
Island13,Plant4,Island13,Bird6,15,0.7654,1.8181,hub,small
Island22,Plant4,Island22,Bird9,2,0.7755,1.8181,hub,small
Island22,Plant4,Island22,Bird3,1,0.78,1.8181,hub,small
Island22,Plant4,Island22,Bird18,1,0.75,2.3923,hub,small
Island22,Plant4,Island22,Bird25,7,0,-0.5195,peripheral,small
Island22,Plant4,Island22,Bird6,4,0.7654,1.8181,hub,small
Island22,Plant4,Island22,Bird5,84,0.7891,3.8604,hub,small
Island12,Plant4,Island12,Bird5,53,0.7891,3.8604,hub,small
Island12,Plant4,Island12,Bird3,29,0.78,1.8181,hub,small
Island12,Plant4,Island12,Bird9,2,0.7755,1.8181,hub,small
