layer_name,node_name,abundance,module
1982,Apodemus_agrarius,82,3
1982,Apodemus_peninsulae,14,3
1982,Arvicola_terrestris,29,1
1982,Asioscalops_altaica,1,2
1982,Cricetus_cricetus,7,6
1982,Eutamias_sibiricus,13,4
1982,Microtus_agrestis,31,1
1982,Microtus_arvalis,9,1
1982,Microtus_gregalis,234,1
1982,Microtus_minutus,21,1
1982,Microtus_oeconomus,63,1
1982,Mus_musculus,20,5
1982,Myodes_glareolus,30,1
1982,Myodes_rufocanus,29,1
1982,Myodes_rutilus,95,1
1982,Sicista_betulina,95,1
1982,Sorex_araneus,270,2
1982,Sorex_caecutiens,17,2
1982,Sorex_isodon,15,2
1982,Sorex_minutus,102,2
1982,Sorex_tundrensis,17,2
1982,Amalaraeus_penicilliger,543,1
1982,Amerosejus_corbicula,2,5
1982,Amphipsylla_sibirica,4,1
1982,Androlaelaps_glasgowi,968,1
1982,Ceratophyllus_indages,7,4
1982,Ctenophthalmus_assimilis,466,1
1982,Eulaelaps_stabularis,105,1
1982,Euryparasitus_emarginatus,22,2
1982,Euryparasitus_medius,1,4
1982,Frontopsylla_elata,4,1
1982,Haemogamasus_ambulans,32,1
1982,Haemogamasus_mandschuricus,27,1
1982,Haemogamasus_nidiformes,10,1
1982,Hirstionyssus_criceti,16,6
1982,Hirstionyssus_isabellinus,160,1
1982,Hirstionyssus_soricis,90,2
1982,Histrichopsylla_talpae,234,1
1982,Holoparasitus_gontscharovae,1,3
1982,Hyperlaelaps_arvalis,1,1
1982,Iphidosoma_fimetarium,6,4
1982,Laelaps_clethrionomydis,324,1
1982,Laelaps_hilaris,5,1
1982,Laelaps_muris,212,1
1982,Laelaps_pavlovskyi,64,3
1982,Laelaspis_astronomicus,3,1
1982,Macrocheles_decoloratus,6,6
1982,Macrocheles_glaber,18,1
1982,Macrocheles_matrius,30,1
1982,Macrocheles_nataliae,10,1
1982,Macrocheles_rotundiscutus,3,2
1982,Megabothris_rectangulatus,272,1
1982,Megabothris_turbidus,3,1
1982,Myonyssus_ingricus,1,3
1982,Neopsylla_acanthina,81,3
1982,Neopsylla_mana,33,3
1982,Palaeopsylla_soricis,821,2
1982,Parasitus_coleoptratorum,4,2
1982,Parasitus_consanguineus,121,1
1982,Parasitus_fimetorum,9,1
1982,Parasitus_oudemansi,27,4
1982,Parasitus_remberti,3,2
1982,Pergamasus_crassipes,14,1
1982,Poecilochirus_necrophori,201,1
1982,Poecilochirus_subterraneus,31,2
1982,Proctolaelaps_pygmaeus,17,5
1982,Rhadinopsylla_integella,3,1
1983,Apodemus_agrarius,107,3
1983,Apodemus_peninsulae,9,3
1983,Arvicola_terrestris,47,1
1983,Asioscalops_altaica,5,2
1983,Cricetus_cricetus,3,6
1983,Eutamias_sibiricus,7,4
1983,Microtus_agrestis,41,1
1983,Microtus_arvalis,41,1
1983,Microtus_gregalis,284,1
1983,Microtus_minutus,26,1
1983,Microtus_oeconomus,41,1
1983,Mus_musculus,31,5
1983,Myodes_glareolus,8,1
1983,Myodes_rufocanus,34,1
1983,Myodes_rutilus,59,1
1983,Neomys_fodiens,2,2
1983,Sicista_betulina,56,1
1983,Sorex_araneus,253,2
1983,Sorex_caecutiens,12,2
1983,Sorex_isodon,15,2
1983,Sorex_minutus,35,2
1983,Sorex_tundrensis,13,2
1983,Amalaraeus_penicilliger,492,1
1983,Amerosejus_corbicula,12,5
1983,Amphipsylla_sibirica,4,1
1983,Androlaelaps_glasgowi,1256,1
1983,Ceratophyllus_indages,25,4
1983,Ctenophthalmus_assimilis,359,1
1983,Eulaelaps_stabularis,89,1
1983,Euryparasitus_emarginatus,10,2
1983,Euryparasitus_medius,5,2
1983,Haemogamasus_ambulans,21,1
1983,Haemogamasus_mandschuricus,58,1
1983,Haemogamasus_nidi,5,1
1983,Haemogamasus_nidiformes,36,1
1983,Hirstionyssus_criceti,1,6
1983,Hirstionyssus_isabellinus,309,1
1983,Hirstionyssus_soricis,182,2
1983,Histrichopsylla_talpae,69,1
1983,Laelaps_clethrionomydis,327,1
1983,Laelaps_hilaris,21,1
1983,Laelaps_muris,44,1
1983,Laelaps_pavlovskyi,136,3
1983,Laelaspis_astronomicus,1,1
1983,Leptopsylla_segnis,14,5
1983,Macrocheles_decoloratus,3,2
1983,Macrocheles_glaber,34,1
1983,Macrocheles_matrius,1,1
1983,Macrocheles_nataliae,6,1
1983,Macrocheles_rotundiscutus,9,3
1983,Megabothris_rectangulatus,124,1
1983,Megabothris_turbidus,2,1
1983,Myonyssus_ingricus,1,2
1983,Neopsylla_acanthina,35,3
1983,Neopsylla_mana,14,3
1983,Palaeopsylla_soricis,241,2
1983,Parasitus_coleoptratorum,1,1
1983,Parasitus_consanguineus,155,1
1983,Parasitus_fimetorum,15,1
1983,Parasitus_magnus,27,2
1983,Parasitus_oudemansi,49,4
1983,Parasitus_remberti,31,2
1983,Pergamasus_crassipes,12,1
1983,Pergamasus_septentrionalis,2,3
1983,Poecilochirus_necrophori,342,1
1983,Poecilochirus_subterraneus,90,2
1983,Proctolaelaps_pygmaeus,18,5
1983,Rhadinopsylla_integella,2,1
1984,Apodemus_agrarius,106,3
1984,Apodemus_peninsulae,6,3
1984,Arvicola_terrestris,86,1
1984,Asioscalops_altaica,11,2
1984,Cricetus_cricetus,6,6
1984,Eutamias_sibiricus,8,4
1984,Microtus_agrestis,95,1
1984,Microtus_arvalis,65,1
1984,Microtus_gregalis,258,1
1984,Microtus_minutus,10,1
1984,Microtus_oeconomus,71,1
1984,Mus_musculus,5,5
1984,Myodes_glareolus,25,1
1984,Myodes_rufocanus,35,1
1984,Myodes_rutilus,127,1
1984,Neomys_fodiens,11,2
1984,Sicista_betulina,112,1
1984,Sorex_araneus,205,2
1984,Sorex_isodon,14,2
1984,Sorex_minutus,11,2
1984,Sorex_tundrensis,13,2
1984,Amalaraeus_penicilliger,912,1
1984,Amerosejus_corbicula,8,5
1984,Amphipsylla_sibirica,18,1
1984,Androlaelaps_glasgowi,1661,1
1984,Ceratophyllus_indages,7,4
1984,Ctenophthalmus_assimilis,608,1
1984,Eulaelaps_stabularis,135,1
1984,Euryparasitus_emarginatus,19,2
1984,Euryparasitus_medius,1,4
1984,Haemogamasus_ambulans,86,1
1984,Haemogamasus_mandschuricus,259,1
1984,Haemogamasus_nidi,25,1
1984,Haemogamasus_nidiformes,23,1
1984,Hirstionyssus_isabellinus,602,1
1984,Hirstionyssus_soricis,128,2
1984,Histrichopsylla_talpae,120,1
1984,Holoparasitus_gontscharovae,25,3
1984,Iphidosoma_fimetarium,2,1
1984,Laelaps_clethrionomydis,1167,1
1984,Laelaps_hilaris,73,1
1984,Laelaps_muris,209,1
1984,Laelaps_pavlovskyi,170,3
1984,Leptopsylla_segnis,8,5
1984,Macrocheles_decoloratus,5,1
1984,Macrocheles_glaber,77,1
1984,Macrocheles_matrius,4,1
1984,Macrocheles_nataliae,3,1
1984,Macrocheles_rotundiscutus,5,2
1984,Megabothris_rectangulatus,589,1
1984,Megabothris_turbidus,6,1
1984,Neopsylla_acanthina,78,3
1984,Neopsylla_mana,11,3
1984,Palaeopsylla_soricis,719,2
1984,Parasitus_coleoptratorum,10,2
1984,Parasitus_consanguineus,281,1
1984,Parasitus_convexus,21,2
1984,Parasitus_fimetorum,83,1
1984,Parasitus_lunaris,1,2
1984,Parasitus_magnus,81,2
1984,Parasitus_oudemansi,102,4
1984,Parasitus_remberti,31,2
1984,Pergamasus_crassipes,8,1
1984,Pergamasus_septentrionalis,13,1
1984,Poecilochirus_necrophori,736,1
1984,Poecilochirus_subterraneus,81,2
1984,Proctolaelaps_pygmaeus,95,5
1984,Rhadinopsylla_integella,1,1
1985,Apodemus_agrarius,70,3
1985,Apodemus_peninsulae,2,3
1985,Arvicola_terrestris,26,1
1985,Asioscalops_altaica,10,2
1985,Cricetus_cricetus,5,6
1985,Eutamias_sibiricus,5,4
1985,Microtus_agrestis,30,1
1985,Microtus_arvalis,36,1
1985,Microtus_gregalis,71,1
1985,Microtus_minutus,29,1
1985,Microtus_oeconomus,142,1
1985,Mus_musculus,2,5
1985,Myodes_glareolus,8,1
1985,Myodes_rufocanus,37,1
1985,Myodes_rutilus,137,1
1985,Neomys_fodiens,59,2
1985,Sicista_betulina,106,1
1985,Sorex_araneus,1059,2
1985,Sorex_caecutiens,18,2
1985,Sorex_isodon,50,2
1985,Sorex_minutus,71,2
1985,Sorex_tundrensis,36,2
1985,Amalaraeus_penicilliger,277,1
1985,Amphipsylla_sibirica,5,1
1985,Androlaelaps_glasgowi,96,1
1985,Ceratophyllus_indages,17,4
1985,Ctenophthalmus_assimilis,396,1
1985,Doratopsylla_birulai,25,2
1985,Eulaelaps_stabularis,92,1
1985,Euryparasitus_emarginatus,28,2
1985,Frontopsylla_elata,13,3
1985,Haemogamasus_ambulans,88,1
1985,Haemogamasus_mandschuricus,13,1
1985,Haemogamasus_nidi,11,1
