layer_from,node_from,layer_to,node_to,weight,type
Trophic,chiton  cummingii,Trophic,acanthocyclus hassleri,1,trophic
Trophic,chiton  cummingii,Trophic,heliaster helianthus,1,trophic
Trophic,chiton  cummingii,Trophic,stichaster striatus,1,trophic
Trophic,chiton  cummingii,Trophic,anthotoe spp.,1,trophic
Trophic,chiton  cummingii,Trophic,bunodactis spp.,1,trophic
Trophic,chiton  cummingii,Trophic,isolauctis spp.,1,trophic
Trophic,chiton  cummingii,Trophic,parantheopsis,1,trophic
Trophic,chiton  cummingii,Trophic,phymactis spp.,1,trophic
Trophic,chiton  cummingii,Trophic,gulls,1,trophic
Trophic,chiton  granosus,Trophic,acanthocyclus gayi,1,trophic
Trophic,chiton  granosus,Trophic,acanthocyclus hassleri,1,trophic
Trophic,chiton  granosus,Trophic,heliaster helianthus,1,trophic
Trophic,chiton  granosus,Trophic,stichaster striatus,1,trophic
Trophic,chiton  granosus,Trophic,anthotoe spp.,1,trophic
Trophic,chiton  granosus,Trophic,bunodactis spp.,1,trophic
Trophic,chiton  granosus,Trophic,isolauctis spp.,1,trophic
Trophic,chiton  granosus,Trophic,parantheopsis,1,trophic
Trophic,chiton  granosus,Trophic,phymactis spp.,1,trophic
Trophic,chiton  granosus,Trophic,gulls,1,trophic
Trophic,chiton  latus,Trophic,acanthocyclus gayi,1,trophic
Trophic,chiton  latus,Trophic,acanthocyclus hassleri,1,trophic
Trophic,chiton  latus,Trophic,heliaster helianthus,1,trophic
Trophic,chiton  latus,Trophic,stichaster striatus,1,trophic
Trophic,chiton  latus,Trophic,anthotoe spp.,1,trophic
Trophic,chiton  latus,Trophic,bunodactis spp.,1,trophic
Trophic,chiton  latus,Trophic,isolauctis spp.,1,trophic
Trophic,chiton  latus,Trophic,parantheopsis,1,trophic
Trophic,chiton  latus,Trophic,phymactis spp.,1,trophic
Trophic,chiton  latus,Trophic,gulls,1,trophic
Trophic,lottia  orbigny,Trophic,acanthocyclus gayi,1,trophic
Trophic,lottia  orbigny,Trophic,acanthocyclus hassleri,1,trophic
Trophic,lottia  orbigny,Trophic,enoplochiton  niger,1,trophic
Trophic,lottia  orbigny,Trophic,heliaster helianthus,1,trophic
Trophic,lottia  orbigny,Trophic,anthotoe spp.,1,trophic
Trophic,lottia  orbigny,Trophic,bunodactis spp.,1,trophic
Trophic,lottia  orbigny,Trophic,isolauctis spp.,1,trophic
Trophic,lottia  orbigny,Trophic,parantheopsis,1,trophic
Trophic,lottia  orbigny,Trophic,phymactis spp.,1,trophic
Trophic,lottia  orbigny,Trophic,gulls,1,trophic
Trophic,lottia  orbigny,Trophic,cincloides,1,trophic
Trophic,concholepas concholepas,Trophic,acanthocyclus gayi,1,trophic
Trophic,concholepas concholepas,Trophic,acanthocyclus hassleri,1,trophic
Trophic,concholepas concholepas,Trophic,heliaster helianthus,1,trophic
Trophic,concholepas concholepas,Trophic,anthotoe spp.,1,trophic
Trophic,concholepas concholepas,Trophic,bunodactis spp.,1,trophic
Trophic,concholepas concholepas,Trophic,isolauctis spp.,1,trophic
Trophic,concholepas concholepas,Trophic,parantheopsis,1,trophic
Trophic,concholepas concholepas,Trophic,phymactis spp.,1,trophic
Trophic,concholepas concholepas,Trophic,gulls,1,trophic
Trophic,enoplochiton  niger,Trophic,heliaster helianthus,1,trophic
Trophic,enoplochiton  niger,Trophic,stichaster striatus,1,trophic
Trophic,enoplochiton  niger,Trophic,gulls,1,trophic
Trophic,fissurella  costata,Trophic,acanthocyclus gayi,1,trophic
Trophic,fissurella  costata,Trophic,acanthocyclus hassleri,1,trophic
Trophic,fissurella  costata,Trophic,concholepas concholepas,1,trophic
Trophic,fissurella  costata,Trophic,heliaster helianthus,1,trophic
Trophic,fissurella  costata,Trophic,anthotoe spp.,1,trophic
Trophic,fissurella  costata,Trophic,bunodactis spp.,1,trophic
Trophic,fissurella  costata,Trophic,isolauctis spp.,1,trophic
Trophic,fissurella  costata,Trophic,parantheopsis,1,trophic
Trophic,fissurella  costata,Trophic,phymactis spp.,1,trophic
Trophic,fissurella  costata,Trophic,gulls,1,trophic
Trophic,fissurella  crassa,Trophic,acanthocyclus gayi,1,trophic
Trophic,fissurella  crassa,Trophic,acanthocyclus hassleri,1,trophic
Trophic,fissurella  crassa,Trophic,concholepas concholepas,1,trophic
Trophic,fissurella  crassa,Trophic,heliaster helianthus,1,trophic
Trophic,fissurella  crassa,Trophic,anthotoe spp.,1,trophic
Trophic,fissurella  crassa,Trophic,bunodactis spp.,1,trophic
Trophic,fissurella  crassa,Trophic,isolauctis spp.,1,trophic
Trophic,fissurella  crassa,Trophic,parantheopsis,1,trophic
Trophic,fissurella  crassa,Trophic,phymactis spp.,1,trophic
Trophic,fissurella  crassa,Trophic,gulls,1,trophic
Trophic,fissurella  cummingii,Trophic,acanthocyclus gayi,1,trophic
Trophic,fissurella  cummingii,Trophic,concholepas concholepas,1,trophic
Trophic,fissurella  cummingii,Trophic,fissurella  maxima,1,trophic
Trophic,fissurella  cummingii,Trophic,heliaster helianthus,1,trophic
Trophic,fissurella  cummingii,Trophic,gulls,1,trophic
Trophic,fissurella  limbata,Trophic,acanthocyclus gayi,1,trophic
Trophic,fissurella  limbata,Trophic,acanthocyclus hassleri,1,trophic
Trophic,fissurella  limbata,Trophic,concholepas concholepas,1,trophic
Trophic,fissurella  limbata,Trophic,fissurella  crassa,1,trophic
Trophic,fissurella  limbata,Trophic,heliaster helianthus,1,trophic
Trophic,fissurella  limbata,Trophic,anthotoe spp.,1,trophic
Trophic,fissurella  limbata,Trophic,bunodactis spp.,1,trophic
Trophic,fissurella  limbata,Trophic,isolauctis spp.,1,trophic
Trophic,fissurella  limbata,Trophic,parantheopsis,1,trophic
Trophic,fissurella  limbata,Trophic,phymactis spp.,1,trophic
Trophic,fissurella  limbata,Trophic,gulls,1,trophic
Trophic,fissurella  maxima,Trophic,acanthocyclus gayi,1,trophic
Trophic,fissurella  maxima,Trophic,acanthocyclus hassleri,1,trophic
Trophic,fissurella  maxima,Trophic,concholepas concholepas,1,trophic
