node_name,node_type,body_mass_g,HWI,migrant_status
Bird1,bird,11.29,19.93,Summer resident
Bird10,bird,51.8,24.7,Summer resident
Bird11,bird,39,14.85,Resident
Bird12,bird,73.18,33.13,Winter resident
Bird13,bird,72.1,33,Winter resident
Bird14,bird,29,11.83,Resident
Bird15,bird,151.52,19.31,Resident
Bird17,bird,102.74,16.02,Resident
Bird18,bird,16.25,18.7,Resident
Bird2,bird,38,19.68,Resident
Bird20,bird,26.9,15.83,Resident
Bird21,bird,232.94,32.78,Resident
Bird22,bird,62.78,6.96,Resident
Bird23,bird,83.7,9.48,Resident
Bird26,bird,31.61,10.03,Resident
Bird27,bird,11.7,30.9,On passage
Bird28,bird,134.13,35.01,Winter resident
Bird3,bird,34.2,20.76,Resident
Bird32,bird,82.6,29.08,Summer resident
Bird33,bird,10.3,9.85,Resident
Bird4,bird,15.26,13.23,Resident
Bird5,bird,16.2,20.54,Winter resident
Bird6,bird,13.43,24.54,Winter resident
Bird7,bird,32.5,18.08,Resident
Bird8,bird,21.39,12.75,Resident
Bird9,bird,66.7,28.39,Winter resident
Plant1,plant,,,
Plant10,plant,,,
Plant11,plant,,,
Plant12,plant,,,
Plant13,plant,,,
Plant14,plant,,,
Plant15,plant,,,
Plant16,plant,,,
Plant18,plant,,,
Plant19,plant,,,
Plant2,plant,,,
Plant20,plant,,,
Plant22,plant,,,
Plant24,plant,,,
Plant25,plant,,,
Plant27,plant,,,
Plant3,plant,,,
Plant30,plant,,,
Plant4,plant,,,
Plant5,plant,,,
Plant6,plant,,,
Plant7,plant,,,
Plant8,plant,,,
Plant9,plant,,,
Bird16,bird,1230,19.53,Resident
Bird19,bird,159.46,19.36,Resident
Bird24,bird,145.12,7,Resident
Bird25,bird,102.73,25.2,Resident
Bird29,bird,22.5,30.55,On passage
Bird30,bird,10.8,25.28,On passage
Plant17,plant,,,
Bird34,bird,32.29,19.5,Resident
Bird31,bird,117.84,8.75,Resident
Bird37,bird,67.79,8.1,Resident
Bird38,bird,62.6,34.75,Winter resident
Plant29,plant,,,
Bird36,bird,194.92,31.35,Summer resident
Plant31,plant,,,
Bird35,bird,23.19,32.48,Winter resident
Plant23,plant,,,
Plant28,plant,,,
Bird39,bird,53.2,24.1,Resident
Plant21,plant,,,
Plant26,plant,,,
