attribute,value
data_entry,ofir_segev
multilayer_network_type,Spatial
multilayer_network_type,Temporal
description,NA
source,mangal
data_url,https://mangal.io/doc/api/
mangal_code,6
ecological_network_type,Host-Parasite
state_nodes,FALSE
