layer,attribute,value
1,date,1982-06-15
1,directed,TRUE
1,latitude,49.81667
1,location,"Kühkopf, Mordhecke I, Hessen (Germany)"
1,longitude,8.416667
1,type,space
2,date,1982-06-15
2,directed,TRUE
2,latitude,49.81667
2,location,"Kühkopf, Mordhecke I, Hessen (Germany)"
2,longitude,8.416667
2,type,time
3,date,1982-06-15
3,directed,TRUE
3,latitude,49.85
3,location,"Griesheim bei Darmstadt, Hessen (Germany)"
3,longitude,8.516667
3,type,space
4,date,1982-06-15
4,directed,TRUE
4,latitude,49.85
4,location,"Griesheim bei Darmstadt, Hessen (Germany)"
4,longitude,8.516667
4,type,time
5,date,1982-06-23
5,directed,TRUE
5,latitude,50.23333
5,location,"Taunus, Waldems-Esch, Hessen (Germany)"
5,longitude,8.316667
5,type,space
6,date,1982-06-23
6,directed,TRUE
6,latitude,50.23333
6,location,"Taunus, Waldems-Esch, Hessen (Germany)"
6,longitude,8.316667
6,type,time
7,date,1982-06-23
7,directed,TRUE
7,latitude,50.25
7,location,"Taunus, Waldems-Reichenbach, Hessen (Germany)"
7,longitude,8.35
7,type,space
8,date,1982-06-23
8,directed,TRUE
8,latitude,50.25
8,location,"Taunus, Waldems-Reichenbach, Hessen (Germany)"
8,longitude,8.35
8,type,time
9,date,1982-06-23
9,directed,TRUE
9,latitude,50.28333
9,location,"Taunus, Hunoldstal, Hessen (Germany)"
9,longitude,8.45
9,type,space
10,date,1982-06-23
10,directed,TRUE
10,latitude,50.28333
10,location,"Taunus, Hunoldstal, Hessen (Germany)"
10,longitude,8.45
10,type,time
11,date,1982-06-26
11,directed,TRUE
11,latitude,50.21667
11,location,"Karben, Hessen (Germany)"
11,longitude,8.75
11,type,space
12,date,1982-06-26
12,directed,TRUE
12,latitude,50.21667
12,location,"Karben, Hessen (Germany)"
12,longitude,8.75
12,type,time
13,date,1982-06-29
13,directed,TRUE
13,latitude,50.16667
13,location,"Frankfurt, Riedwiese, Hessen (Germany)"
13,longitude,8.633333
13,type,space
14,date,1982-06-29
14,directed,TRUE
14,latitude,50.16667
14,location,"Frankfurt, Riedwiese, Hessen (Germany)"
14,longitude,8.633333
14,type,time
15,date,1982-06-30
15,directed,TRUE
15,latitude,49.81667
15,location,"Kühkopf, Mordhecke I, Hessen (Germany)"
15,longitude,8.416667
15,type,space
16,date,1982-06-30
16,directed,TRUE
16,latitude,49.81667
16,location,"Kühkopf, Mordhecke I, Hessen (Germany)"
16,longitude,8.416667
16,type,time
17,date,1982-06-30
17,directed,TRUE
17,latitude,49.85
17,location,"Kühkopf, Mordhecke III, Hessen (Germany)"
17,longitude,8.383333
17,type,space
18,date,1982-06-30
18,directed,TRUE
18,latitude,49.85
