interaction_id,attribute,value
35,type,host-parasite
35,method,field_observation
35,weight,1
36,node_from,Adelognathus_sp.
36,layer_from,9
36,node_to,Phyllocolpa_Ph._sp._/_S._glabra
36,layer_to,9
36,type,host-parasite
36,method,field_observation
36,weight,1
37,node_from,Phyllocolpa_Ph._sp._/_S._glabra_1
37,layer_from,9
37,node_to,Salix_glabra_1
37,layer_to,9
37,type,host-parasite
37,method,field_observation
37,weight,1
38,node_from,Adelognathus_sp.
38,layer_from,9
38,node_to,Phyllocolpa_Ph._sp._/_S._glabra_1
38,layer_to,9
38,type,host-parasite
38,method,field_observation
38,weight,1
39,node_from,Adelognathus_sp.
39,layer_from,10
39,node_to,Phyllocolpa_Ph._sp._/_S._glabra
39,layer_to,10
39,type,host-parasite
39,method,field_observation
39,weight,1
40,node_from,Phyllocolpa_Ph._sp._/_S._glabra
40,layer_from,10
40,node_to,Salix_glabra
40,layer_to,10
40,type,host-parasite
40,method,field_observation
40,weight,1
41,node_from,Scambus_vesicarius
41,layer_from,11
41,node_to,Pontania_bridgmanii
41,layer_to,11
41,type,host-parasite
41,method,field_observation
41,weight,1
42,node_from,Pontania_bridgmanii
42,layer_from,11
42,node_to,Salix_appendiculata
42,layer_to,11
42,type,host-parasite
42,method,field_observation
42,weight,1
43,node_from,Chalcidoidea_indet.
43,layer_from,11
43,node_to,Pontania_bridgmanii
43,layer_to,11
43,type,host-parasite
43,method,field_observation
43,weight,1
44,node_from,Pontania_hastatae
44,layer_from,12
44,node_to,Salix_hastata
44,layer_to,12
44,type,host-parasite
44,method,field_observation
44,weight,1
45,node_from,Chalcidoidea_indet.
45,layer_from,12
45,node_to,Pontania_hastatae
45,layer_to,12
45,type,host-parasite
45,method,field_observation
45,weight,1
46,node_from,Chalcidoidea_indet.
46,layer_from,12
46,node_to,Euura_hastatae
46,layer_to,12
46,type,host-parasite
46,method,field_observation
46,weight,1
47,node_from,Euura_hastatae
47,layer_from,12
47,node_to,Salix_hastata
47,layer_to,12
47,type,host-parasite
47,method,field_observation
47,weight,1
48,node_from,Chalcidoidea_indet.
48,layer_from,12
48,node_to,Pontania_obscura
48,layer_to,12
48,type,host-parasite
48,method,field_observation
48,weight,1
49,node_from,Pontania_obscura
49,layer_from,12
49,node_to,Salix_foetida
49,layer_to,12
49,type,host-parasite
49,method,field_observation
49,weight,1
50,node_from,Ichneumonidae_indet.
50,layer_from,12
50,node_to,Pontania_obscura
50,layer_to,12
50,type,host-parasite
50,method,field_observation
50,weight,1
51,node_from,Bracon_romani
51,layer_from,12
51,node_to,Pontania_obscura
51,layer_to,12
51,type,host-parasite
51,method,field_observation
51,weight,1
52,node_from,Pontania_bridgmanii
52,layer_from,12
52,node_to,Salix_appendiculata
52,layer_to,12
52,type,host-parasite
52,method,field_observation
52,weight,1
53,node_from,Lathrostizus_lugens
53,layer_from,12
53,node_to,Pontania_bridgmanii
53,layer_to,12
53,type,host-parasite
53,method,field_observation
53,weight,1
54,node_from,Chalcidoidea_indet.
54,layer_from,12
54,node_to,Pontania_bridgmanii
54,layer_to,12
54,type,host-parasite
54,method,field_observation
54,weight,1
55,node_from,Chalcidoidea_indet.
55,layer_from,13
55,node_to,Pontania_viminalis
55,layer_to,13
55,type,host-parasite
55,method,field_observation
55,weight,1
56,node_from,Chalcidoidea_indet.
56,layer_from,13
56,node_to,Pontania_varia
56,layer_to,13
56,type,host-parasite
56,method,field_observation
56,weight,1
57,node_from,Pontania_viminalis
57,layer_from,13
57,node_to,Salix_purpurea
57,layer_to,13
57,type,host-parasite
57,method,field_observation
57,weight,1
58,node_from,Pontania_varia
58,layer_from,13
58,node_to,Salix_myrsinifolia
58,layer_to,13
58,type,host-parasite
58,method,field_observation
58,weight,1
59,node_from,Hydriomena_ruberata
59,layer_from,13
59,node_to,Pontania_varia
59,layer_to,13
59,type,host-parasite
59,method,field_observation
59,weight,1
60,node_from,Pteromalus_dolichurus
60,layer_from,13
60,node_to,Pontania_varia
60,layer_to,13
60,type,host-parasite
60,method,field_observation
60,weight,1
61,node_from,Pteromalus_euurae
61,layer_from,14
61,node_to,Euura_gemmahelveticae
61,layer_to,14
61,type,host-parasite
61,method,field_observation
61,weight,1
62,node_from,Euura_gemmahelveticae
62,layer_from,14
62,node_to,Salix_helvetica
62,layer_to,14
62,type,host-parasite
62,method,field_observation
62,weight,1
63,node_from,Pontania_varia
63,layer_from,14
63,node_to,Salix_myrsinifolia
63,layer_to,14
63,type,host-parasite
63,method,field_observation
63,weight,1
64,node_from,Bracon_romani
64,layer_from,14
64,node_to,Pontania_varia
64,layer_to,14
64,type,host-parasite
64,method,field_observation
64,weight,1
65,node_from,Eurytoma_aciculata
65,layer_from,14
65,node_to,Pontania_varia
65,layer_to,14
65,type,host-parasite
65,method,field_observation
65,weight,1
66,node_from,Euura_gemmafoetidae
66,layer_from,14
66,node_to,Salix_foetida
66,layer_to,14
66,type,host-parasite
66,method,field_observation
66,weight,1
67,node_from,Eurytoma_nobbei
67,layer_from,14
67,node_to,Euura_gemmafoetidae
67,layer_to,14
67,type,host-parasite
67,method,field_observation
67,weight,1
68,node_from,Pteromalus_euurae
68,layer_from,14
68,node_to,Euura_gemmafoetidae
68,layer_to,14
68,type,host-parasite
68,method,field_observation
68,weight,1
69,node_from,Chrysocharis_elongata
69,layer_from,14
69,node_to,Phyllocolpa_carinifrons
69,layer_to,14
69,type,host-parasite
69,method,field_observation
69,weight,1
70,node_from,Phyllocolpa_carinifrons
70,layer_from,14
70,node_to,Salix_pentandra
70,layer_to,14
70,type,host-parasite
70,method,field_observation
70,weight,1
71,node_from,Pteromalus_dolichurus
71,layer_from,14
71,node_to,Pontania_foetidae
71,layer_to,14
71,type,host-parasite
71,method,field_observation
71,weight,1
72,node_from,Pontania_foetidae
72,layer_from,14
72,node_to,Salix_foetida
72,layer_to,14
72,type,host-parasite
72,method,field_observation
72,weight,1
73,node_from,Pteromalus_dolichurus
73,layer_from,14
73,node_to,Pontania_obscura
73,layer_to,14
73,type,host-parasite
73,method,field_observation
73,weight,1
74,node_from,Pontania_obscura
74,layer_from,14
74,node_to,Salix_foetida
74,layer_to,14
74,type,host-parasite
74,method,field_observation
74,weight,1
75,node_from,Pontania_viminalis
75,layer_from,15
75,node_to,Salix_purpurea
75,layer_to,15
75,type,host-parasite
75,method,field_observation
75,weight,1
76,node_from,Chalcidoidea_indet.
76,layer_from,15
76,node_to,Pontania_viminalis
76,layer_to,15
76,type,host-parasite
76,method,field_observation
76,weight,1
77,node_from,Pteromalus_dolichurus
77,layer_from,15
77,node_to,Pontania_viminalis
77,layer_to,15
77,type,host-parasite
77,method,field_observation
77,weight,1
78,node_from,Eurytoma_aciculata
78,layer_from,15
78,node_to,Pontania_viminalis
78,layer_to,15
78,type,host-parasite
78,method,field_observation
78,weight,1
79,node_from,Eulonchetron_torymoides
79,layer_from,15
79,node_to,Pontania_viminalis
79,layer_to,15
79,type,host-parasite
79,method,field_observation
79,weight,1
80,node_from,Curculio_crux
80,layer_from,15
80,node_to,Pontania_viminalis
80,layer_to,15
80,type,host-parasite
80,method,field_observation
80,weight,1
81,node_from,Euura_purpureae
81,layer_from,15
81,node_to,Salix_purpurea
81,layer_to,15
81,type,host-parasite
81,method,field_observation
81,weight,1
82,node_from,Anaprostocetus_acuminatus
82,layer_from,15
82,node_to,Euura_purpureae
82,layer_to,15
82,type,host-parasite
82,method,field_observation
82,weight,1
83,node_from,Pteromalus_dolichurus
83,layer_from,15
83,node_to,Euura_purpureae
83,layer_to,15
83,type,host-parasite
83,method,field_observation
83,weight,1
84,node_from,Eurytoma_salicis
84,layer_from,15
84,node_to,Euura_purpureae
84,layer_to,15
84,type,host-parasite
84,method,field_observation
84,weight,1
85,node_from,Lathrostizus_alpicola
85,layer_from,15
85,node_to,Euura_purpureae
85,layer_to,15
85,type,host-parasite
85,method,field_observation
85,weight,1
86,node_from,Hydriomena_ruberata
86,layer_from,16
86,node_to,Pontania_maculosa
86,layer_to,16
86,type,host-parasite
86,method,field_observation
86,weight,1
87,node_from,Pontania_varia
87,layer_from,16
87,node_to,Salix_myrsinifolia
87,layer_to,16
87,type,host-parasite
87,method,field_observation
87,weight,1
88,node_from,Chalcidoidea_indet.
88,layer_from,16
88,node_to,Pontania_virilis
88,layer_to,16
88,type,host-parasite
88,method,field_observation
88,weight,1
89,node_from,Pontania_viminalis
89,layer_from,16
89,node_to,Salix_purpurea
89,layer_to,16
89,type,host-parasite
89,method,field_observation
89,weight,1
90,node_from,Pontania_hastatae
90,layer_from,16
90,node_to,Salix_hastata
90,layer_to,16
90,type,host-parasite
90,method,field_observation
90,weight,1
91,node_from,Pontania_breviserratae
91,layer_from,16
91,node_to,Salix_breviserrata
91,layer_to,16
91,type,host-parasite
91,method,field_observation
91,weight,1
92,node_from,Theroscopus_hemipteron
92,layer_from,16
92,node_to,Pontania_virilis
92,layer_to,16
92,type,host-parasite
92,method,field_observation
92,weight,1
93,node_from,Pontania_maculosa
93,layer_from,16
93,node_to,Salix_helvetica
93,layer_to,16
93,type,host-parasite
93,method,field_observation
93,weight,1
94,node_from,Chalcidoidea_indet.
94,layer_from,16
94,node_to,Pontania_hastatae
94,layer_to,16
94,type,host-parasite
94,method,field_observation
94,weight,1
95,node_from,Bracon_romani
95,layer_from,16
95,node_to,Pontania_breviserratae
95,layer_to,16
95,type,host-parasite
95,method,field_observation
95,weight,1
96,node_from,Pontania_virilis
96,layer_from,16
96,node_to,Salix_purpurea
96,layer_to,16
96,type,host-parasite
96,method,field_observation
96,weight,1
97,node_from,Chalcidoidea_indet.
97,layer_from,16
97,node_to,Pontania_maculosa
97,layer_to,16
97,type,host-parasite
97,method,field_observation
97,weight,1
98,node_from,Chalcidoidea_indet.
98,layer_from,16
98,node_to,Pontania_varia
98,layer_to,16
98,type,host-parasite
98,method,field_observation
98,weight,1
99,node_from,Saotis_pygidiator
99,layer_from,16
99,node_to,Pontania_breviserratae
99,layer_to,16
99,type,host-parasite
99,method,field_observation
99,weight,1
100,node_from,Chalcidoidea_indet.
100,layer_from,16
100,node_to,Pontania_viminalis
100,layer_to,16
100,type,host-parasite
100,method,field_observation
100,weight,1
101,node_from,Hydriomena_ruberata
101,layer_from,16
101,node_to,Pontania_hastatae
101,layer_to,16
101,type,host-parasite
101,method,field_observation
101,weight,1
102,node_from,Chalcidoidea_indet.
102,layer_from,16
102,node_to,Pontania_breviserratae
102,layer_to,16
102,type,host-parasite
102,method,field_observation
102,weight,1
103,node_from,Scambus_vesicarius
103,layer_from,16
103,node_to,Pontania_virilis
103,layer_to,16
103,type,host-parasite
103,method,field_observation
103,weight,1
104,node_from,Chalcidoidea_indet.
104,layer_from,17
104,node_to,Pontania_breviserratae
104,layer_to,17
104,type,host-parasite
104,method,field_observation
104,weight,1
105,node_from,Scambus_vesicarius
105,layer_from,17
105,node_to,Pontania_varia
105,layer_to,17
105,type,host-parasite
105,method,field_observation
105,weight,1
106,node_from,Eurytoma_aciculata
106,layer_from,17
106,node_to,Pontania_varia
106,layer_to,17
106,type,host-parasite
106,method,field_observation
106,weight,1
107,node_from,Saotis_pygidiator
107,layer_from,17
107,node_to,Pontania_hastatae
107,layer_to,17
107,type,host-parasite
107,method,field_observation
107,weight,1
108,node_from,Pontania_breviserratae
108,layer_from,17
108,node_to,Salix_breviserrata
108,layer_to,17
108,type,host-parasite
108,method,field_observation
108,weight,1
109,node_from,Pteromalus_dolichurus
109,layer_from,17
109,node_to,Pontania_varia
109,layer_to,17
109,type,host-parasite
109,method,field_observation
109,weight,1
110,node_from,Pontania_hastatae
110,layer_from,17
110,node_to,Salix_hastata
110,layer_to,17
110,type,host-parasite
110,method,field_observation
110,weight,1
111,node_from,Bracon_romani
111,layer_from,17
111,node_to,Pontania_breviserratae
111,layer_to,17
111,type,host-parasite
111,method,field_observation
111,weight,1
112,node_from,Scambus_vesicarius
112,layer_from,17
112,node_to,Pontania_hastatae
112,layer_to,17
112,type,host-parasite
112,method,field_observation
112,weight,1
113,node_from,Hydriomena_ruberata
113,layer_from,17
113,node_to,Pontania_hastatae
113,layer_to,17
113,type,host-parasite
113,method,field_observation
113,weight,1
114,node_from,Pontania_varia
114,layer_from,17
114,node_to,Salix_myrsinifolia
114,layer_to,17
114,type,host-parasite
114,method,field_observation
114,weight,1
115,node_from,Chalcidoidea_indet.
115,layer_from,17
115,node_to,Pontania_hastatae
115,layer_to,17
115,type,host-parasite
115,method,field_observation
115,weight,1
116,node_from,Eurytoma_aciculata
116,layer_from,17
116,node_to,Pontania_hastatae
116,layer_to,17
116,type,host-parasite
116,method,field_observation
116,weight,1
117,node_from,Bracon_romani
117,layer_from,17
117,node_to,Pontania_hastatae
117,layer_to,17
117,type,host-parasite
117,method,field_observation
117,weight,1
118,node_from,Hydriomena_ruberata
118,layer_from,18
118,node_to,Pontania_breviserratae
118,layer_to,18
118,type,host-parasite
118,method,field_observation
118,weight,1
119,node_from,Scambus_vesicarius
119,layer_from,18
119,node_to,Pontania_breviserratae
119,layer_to,18
119,type,host-parasite
119,method,field_observation
119,weight,1
120,node_from,Pontania_breviserratae
120,layer_from,18
120,node_to,Salix_breviserrata
120,layer_to,18
120,type,host-parasite
120,method,field_observation
120,weight,1
121,node_from,Chalcidoidea_indet.
121,layer_from,18
121,node_to,Pontania_breviserratae
121,layer_to,18
121,type,host-parasite
121,method,field_observation
121,weight,1
122,node_from,Ichneumonidae_indet.
122,layer_from,18
122,node_to,Pontania_breviserratae
122,layer_to,18
122,type,host-parasite
122,method,field_observation
122,weight,1
123,node_from,Pontania_hastatae
123,layer_from,18
123,node_to,Salix_hastata
123,layer_to,18
123,type,host-parasite
123,method,field_observation
123,weight,1
124,node_from,Hydriomena_ruberata
124,layer_from,18
124,node_to,Pontania_hastatae
124,layer_to,18
124,type,host-parasite
124,method,field_observation
124,weight,1
125,node_from,Chalcidoidea_indet.
125,layer_from,18
125,node_to,Pontania_hastatae
125,layer_to,18
125,type,host-parasite
125,method,field_observation
125,weight,1
126,node_from,Eurytoma_aciculata
126,layer_from,18
126,node_to,Pontania_hastatae
126,layer_to,18
126,type,host-parasite
126,method,field_observation
126,weight,1
127,node_from,Euura_hastatae
127,layer_from,19
127,node_to,Salix_hastata
127,layer_to,19
127,type,host-parasite
127,method,field_observation
127,weight,1
128,node_from,Pteromalus_euurae
128,layer_from,19
128,node_to,Euura_hastatae
128,layer_to,19
128,type,host-parasite
128,method,field_observation
