attribute,value
data_entry,noa_frydman
multilayer_network_type,Environment
multilayer_network_type,Perturbation
description,"The authors compared uninvaded and invaded ecological communities, to examine how two species of invasive plants with large and showy flowers (Carpobrotus affine acinaciformis and Opuntia stricta) affect the structure of Mediterranean plant–pollinator networks at the Natural Park of Cap de Creus, Catalonia."
source,Web_of_Life
source,Interaction_Web_DataBase
data_url,http://www.ecologia.ib.usp.br/iwdb/html/bartomeus_2008.html
data_url,http://www.web-of-life.es/map.php
ecological_network_type,Pollination
state_nodes,FALSE
