interaction_id,attribute,value
50,node_from,bombil3
50,layer_from,1
50,node_to,hel.don
50,layer_to,1
50,weight,2
50,type,pollination
51,node_from,lepid3
51,layer_from,1
51,node_to,hel.don
51,layer_to,1
51,weight,1
51,type,pollination
52,node_from,ant.fri
52,layer_from,1
52,node_to,lar.div
52,layer_to,1
52,weight,31
52,type,pollination
53,node_from,api.mel
53,layer_from,1
53,node_to,lar.div
53,layer_to,1
53,weight,244
53,type,pollination
54,node_from,aug.sp
54,layer_from,1
54,node_to,lar.div
54,layer_to,1
54,weight,7
54,type,pollination
55,node_from,bom.opi
55,layer_from,1
55,node_to,lar.div
55,layer_to,1
55,weight,48
55,type,pollination
56,node_from,cen.bre
56,layer_from,1
56,node_to,lar.div
56,layer_to,1
56,weight,38
56,type,pollination
57,node_from,col.cog
57,layer_from,1
57,node_to,lar.div
57,layer_to,1
57,weight,1
57,type,pollination
58,node_from,com.ful
58,layer_from,1
58,node_to,lar.div
58,layer_to,1
58,weight,6
58,type,pollination
59,node_from,cop.ari
59,layer_from,1
59,node_to,lar.div
59,layer_to,1
59,weight,12
59,type,pollination
60,node_from,exo.sp1
60,layer_from,1
60,node_to,lar.div
60,layer_to,1
60,weight,2
60,type,pollination
61,node_from,hir.sp1
61,layer_from,1
61,node_to,lar.div
61,layer_to,1
61,weight,21
61,type,pollination
62,node_from,lei.abd
62,layer_from,1
62,node_to,lar.div
62,layer_to,1
62,weight,3
62,type,pollination
63,node_from,lepid4
63,layer_from,1
63,node_to,lar.div
63,layer_to,1
63,weight,1
63,type,pollination
64,node_from,meg.A
64,layer_from,1
64,node_to,lar.div
64,layer_to,1
64,weight,121
64,type,pollination
65,node_from,meg.C
65,layer_from,1
65,node_to,lar.div
65,layer_to,1
65,weight,19
65,type,pollination
66,node_from,tat.aut
66,layer_from,1
66,node_to,lar.div
66,layer_to,1
66,weight,1
66,type,pollination
67,node_from,xyl.ord
67,layer_from,1
67,node_to,lar.div
67,layer_to,1
67,weight,109
67,type,pollination
68,node_from,allo.bre
68,layer_from,1
68,node_to,lar.nit
68,layer_to,1
68,weight,2
