doi,author,year,paper_url,data_url
NA,"KATO, Makoto",2000-03-31,http://hdl.handle.net/2433/156116,http://www.web-of-life.es/map.php
NA,"KATO, Makoto; KAKUTANI, Takehiko; INOUE, Tamiji; ITINO, Takao",1990-08-20,http://hdl.handle.net/2433/156101,http://www.web-of-life.es/map.php
NA,"KATO, Makoto; KAKUTANI, Takehiko; INOUE, Tamiji; ITINO, Takao",1990-08-20,http://hdl.handle.net/2433/156101,http://www.ecologia.ib.usp.br/iwdb/resources.html
NA,"INOUE, Tamiji; KATO, Makoto; KAKUTANI, Takehiko; SUKA, Takeshi; ITINO, Takao",1990-08-20,http://hdl.handle.net/2433/156100,http://www.web-of-life.es/map.php
NA,"KAKUTANI, Takehiko; INOUE, Tamiji; KATO, Makoto; ICHIHASHI, Hideyuki",1990-08-20,http://hdl.handle.net/2433/156099,http://www.web-of-life.es/map.php
NA,"KATO, Makoto; MATSUMOTO, Masamichi; KATO, Tôru",1993-03-31,http://hdl.handle.net/2433/156107,http://www.web-of-life.es/map.php
NA,"YAMAZAKI, Kyoko; KATO, Makoto",2003-04-21,http://hdl.handle.net/2433/156407,http://www.web-of-life.es/map.php
NA,"KATO, Makoto; MIURA, Reiichi",1996-03-31,http://hdl.handle.net/2433/156114,http://www.web-of-life.es/map.php
